row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,cluster,true_label
14430,race,1,0.0,0.0,1.0,0.94,3,0,0.0,0.5,1.0,0.8,1,1,0,1
7763,race,1,0.0,0.0,1.0,0.94,3,0,0.0,0.5,1.0,0.8,1,1,0,1
11365,race,1,0.0,0.0,1.0,0.96,3,0,0.0,0.5,1.0,0.8,1,1,0,1
2134,race,1,0.0,0.0,1.0,0.88,3,0,0.0,0.5,1.0,0.8,1,1,0,1
19280,race,1,0.0,0.0,1.0,0.94,3,0,0.0,0.5,1.0,0.8,1,1,0,1
18653,sex,1,0.0,0.0,1.0,0.82,3,0,0.0916374289172061,0.5,1.0,0.0,1,1,1,1
1548,sex,1,0.0,0.0,1.0,0.98,3,0,0.0916374289172061,0.5,1.0,0.0,1,1,1,1
8748,sex,1,0.0,0.0,1.0,0.94,3,0,0.0916374289172061,0.5,1.0,0.0,1,1,1,1
14332,sex,1,0.0,0.0,1.0,0.86,3,0,0.0916374289172061,0.5,1.0,0.0,1,1,1,1
13240,sex,1,0.0,0.0,1.0,0.8,3,0,0.0916374289172061,0.5,1.0,0.0,1,1,1,1
8577,race,1,0.0,0.0,1.0,0.86,1,0,0.0,0.5,1.0,0.8,1,1,2,1
14524,race,1,0.0,0.0,1.0,0.94,1,0,0.0,0.5,1.0,0.8,1,1,2,1
8133,race,1,0.0,0.0,1.0,0.92,1,0,0.0,0.5,1.0,0.8,1,1,2,1
6686,race,1,0.0,0.0,1.0,1.0,1,0,0.0,0.5,1.0,0.8,1,1,2,1
2307,race,1,0.0,0.0,1.0,0.88,1,0,0.0,0.5,1.0,0.8,1,1,2,1
9895,race,1,0.0,0.0,1.0,0.98,2,0,0.0,0.5,1.0,0.8,1,1,3,1
3772,race,1,0.0,0.0,1.0,0.94,2,0,0.0,0.5,1.0,0.8,1,1,3,1
8039,race,1,0.0,0.0,1.0,0.96,2,0,0.0,0.5,1.0,0.8,1,1,3,1
7853,race,1,0.0,0.0,1.0,1.0,2,0,0.0,0.5,1.0,0.8,1,1,3,1
14666,race,1,0.0,0.0,1.0,0.76,2,0,0.0,0.5,1.0,0.8,1,1,3,1
3302,sex,1,0.0,0.0,1.0,0.62,2,0,0.0916374289172061,0.5,1.0,0.0,1,1,4,1
16112,sex,1,0.0,0.0,1.0,0.82,2,0,0.0916374289172061,0.5,1.0,0.0,1,1,4,1
15023,sex,1,0.0,0.0,1.0,0.7,2,0,0.0916374289172061,0.5,1.0,0.0,1,1,4,1
5288,sex,1,0.0,0.0,1.0,0.98,2,0,0.0916374289172061,0.5,1.0,0.0,1,1,4,1
11612,sex,1,0.0,0.0,1.0,0.82,2,0,0.0916374289172061,0.5,1.0,0.0,1,1,4,1
11953,sex,1,0.0,0.0,0.8571428571428572,0.8,1,0,0.0916374289172061,0.5,0.0,0.0,1,0,5,1
7737,sex,1,0.0,0.0,0.8571428571428572,0.66,1,0,0.0916374289172061,0.5,0.0,0.0,1,0,5,1
13710,race,1,0.0,0.0,0.9166666666666666,0.6,2,0,0.0,0.5,0.0,0.8,1,0,5,1
16434,sex,1,0.0,0.0,0.8571428571428572,0.66,1,0,0.0916374289172061,0.5,0.0,0.0,1,0,5,1
3676,sex,1,0.0,0.0,0.8571428571428572,0.48,1,0,0.0916374289172061,0.5,0.0,0.0,1,0,5,1
1037,education-num,1,,,0.49217029835138326,0.8376114371234381,3,0,0.569224777782722,0.0,0.6738383576767208,0.3,0,0,6,0
10151,education-num,1,,,0.8534181655770896,0.5087404820540986,3,0,0.569224777782722,0.0,0.6738383576767208,0.3,0,0,6,0
11600,education-num,1,,,0.49217029835138326,0.9495094384333379,2,0,0.569224777782722,0.0,0.6738383576767208,0.3,0,0,6,0
16112,education-num,1,,,0.8534181655770896,0.9986353902279281,2,0,0.569224777782722,0.0,0.6738383576767208,0.3,0,0,6,0
3683,education-num,1,,,0.9843004727913951,0.8799143400576686,2,0,0.569224777782722,0.0,0.6738383576767208,0.3,0,0,6,0
17876,education-num,1,,,0.9843004727913951,0.9863539022792805,2,1,0.569224777782722,0.0,0.6738383576767208,0.3,0,0,7,1
7298,education-num,1,,,0.8534181655770896,0.9986353902279281,2,1,0.569224777782722,0.0,0.6738383576767208,0.3,0,0,7,0
5929,education-num,1,,,0.8534181655770896,0.9972707804558562,2,1,0.569224777782722,0.0,0.6738383576767208,0.3,0,0,7,0
7966,education-num,1,,,0.7225358583627842,0.9181234136756831,2,1,0.569224777782722,0.0,0.6738383576767208,0.3,0,0,7,1
18743,education-num,1,,,0.9843004727913951,0.9986353902279281,2,1,0.569224777782722,0.0,0.6738383576767208,0.3,0,0,7,0
3086,native-country,1,0.0,0.0,1.0,1.0,3,0,0.15591276946629257,1.0,1.0,1.0,0,0,8,1
10078,occupation,1,0.0,0.0,1.0,0.7,3,0,0.6991080546111005,1.0,1.0,0.8,0,0,8,1
3414,native-country,1,0.0,0.0,1.0,1.0,3,0,0.15591276946629257,1.0,1.0,1.0,0,0,8,1
8917,native-country,1,0.0,0.0,1.0,0.96,3,0,0.15591276946629257,1.0,1.0,1.0,0,0,8,1
14700,workclass,1,0.0,0.0,0.7391304347826086,0.68,3,0,0.3026161566006758,1.0,1.0,0.8,0,0,8,1
13724,race,0,1.0,0.0,0.0,0.62,3,0,0.0,0.5,0.5,0.8,1,0,9,0
12416,race,0,1.0,0.0,0.0,0.54,3,0,0.0,0.5,0.5,0.8,1,0,9,0
16289,race,0,1.0,0.0,0.0,0.74,3,0,0.0,0.5,0.5,0.8,1,0,9,0
3855,race,0,1.0,0.0,0.0,0.6,3,0,0.0,0.5,0.5,0.8,1,0,9,0
8494,race,0,1.0,0.0,0.0,0.54,3,0,0.0,0.5,0.5,0.8,1,0,9,0
531,occupation,1,0.0,0.0,0.9230769230769231,0.66,2,0,0.6991080546111005,1.0,1.0,0.8,0,0,10,1
18146,occupation,1,0.0,0.0,0.9743589743589743,0.54,2,0,0.6991080546111005,1.0,1.0,0.8,0,0,10,1
12478,occupation,1,0.0,0.0,1.0,0.82,2,0,0.6991080546111005,1.0,1.0,0.8,0,0,10,1
1009,occupation,1,0.0,0.0,0.9743589743589743,0.74,2,0,0.6991080546111005,1.0,1.0,0.8,0,0,10,1
11534,occupation,1,0.0,0.0,0.8205128205128205,0.6,2,0,0.6991080546111005,1.0,1.0,0.8,0,0,10,1
9994,workclass,1,0.0,0.0,0.7391304347826086,0.74,2,0,0.3026161566006758,1.0,1.0,0.8,0,0,11,1
15296,native-country,1,0.0,0.0,1.0,0.98,2,0,0.15591276946629257,1.0,1.0,1.0,0,0,11,1
18304,workclass,1,0.0,0.0,0.7391304347826086,0.62,2,0,0.3026161566006758,1.0,1.0,0.8,0,0,11,1
1893,workclass,1,0.0,0.0,0.8260869565217391,0.58,2,0,0.3026161566006758,1.0,1.0,0.8,0,0,11,1
14666,native-country,1,0.0,0.0,1.0,1.0,2,0,0.15591276946629257,1.0,1.0,1.0,0,0,11,1
14267,native-country,1,0.0,0.0,1.0,0.9,1,0,0.15591276946629257,1.0,1.0,1.0,0,0,12,1
8143,native-country,1,0.0,0.0,1.0,0.96,1,0,0.15591276946629257,1.0,1.0,1.0,0,0,12,1
12764,native-country,1,0.0,0.0,1.0,0.98,1,0,0.15591276946629257,1.0,1.0,1.0,0,0,12,1
11099,native-country,1,0.0,0.0,1.0,0.78,1,0,0.15591276946629257,1.0,1.0,1.0,0,0,12,1
4010,native-country,1,0.0,0.0,1.0,0.94,1,0,0.15591276946629257,1.0,1.0,1.0,0,0,12,1
11567,education,1,0.0,0.0,0.9736842105263158,0.6,1,0,1.0,1.0,1.0,0.8,0,0,13,1
12407,occupation,1,0.0,0.0,0.9230769230769231,0.7,1,0,0.6991080546111005,1.0,1.0,0.8,0,0,13,1
8966,education,1,0.0,0.0,0.9736842105263158,0.6,1,0,1.0,1.0,1.0,0.8,0,0,13,1
18143,education,1,0.0,0.0,0.9736842105263158,0.62,1,0,1.0,1.0,1.0,0.8,0,0,13,1
4164,occupation,1,0.0,0.0,0.9743589743589743,0.66,1,0,0.6991080546111005,1.0,1.0,0.8,0,0,13,1
12540,race,0,7.0,1.0,0.0,0.64,2,0,0.0,0.5,0.5,0.8,1,0,14,1
11476,race,0,1.0,0.0,0.0,0.74,2,0,0.0,0.5,0.5,0.8,1,0,14,0
15284,race,0,2.0,0.0,0.0,0.5,2,0,0.0,0.5,0.5,0.8,1,0,14,0
1841,race,0,1.0,0.0,0.0,0.6,2,0,0.0,0.5,0.5,0.8,1,0,14,0
11488,race,0,1.0,0.0,0.0,0.72,2,0,0.0,0.5,0.5,0.8,1,0,14,0
10889,occupation,1,0.0,0.0,0.717948717948718,0.6,2,1,0.6991080546111005,1.0,1.0,0.8,0,0,15,1
962,occupation,1,0.0,0.0,1.0,0.76,2,1,0.6991080546111005,1.0,1.0,0.8,0,0,15,1
6598,occupation,1,0.0,0.0,1.0,0.72,2,1,0.6991080546111005,1.0,1.0,0.8,0,0,15,1
5755,occupation,1,0.0,0.0,1.0,0.66,2,1,0.6991080546111005,1.0,1.0,0.8,0,0,15,1
8221,occupation,1,0.0,0.0,0.9743589743589743,0.74,2,1,0.6991080546111005,1.0,1.0,0.8,0,0,15,1
477,education,1,0.0,0.0,1.0,0.74,2,1,1.0,1.0,1.0,0.8,0,0,16,1
16243,education,1,0.0,0.0,1.0,0.9,2,1,1.0,1.0,1.0,0.8,0,0,16,1
16066,education,1,0.0,0.0,1.0,0.6,2,1,1.0,1.0,1.0,0.8,0,0,16,1
4333,education,1,0.0,0.0,0.9473684210526316,0.66,2,1,1.0,1.0,1.0,0.8,0,0,16,1
19017,education,1,0.0,0.0,1.0,0.62,2,1,1.0,1.0,1.0,0.8,0,0,16,1
6780,workclass,1,0.0,0.0,1.0,0.92,3,0,0.3026161566006758,1.0,0.0,0.8,0,0,17,1
9491,workclass,1,0.0,0.0,1.0,0.7,3,0,0.3026161566006758,1.0,0.0,0.8,0,0,17,1
11565,workclass,1,0.0,0.0,1.0,0.8,3,0,0.3026161566006758,1.0,0.0,0.8,0,0,17,1
3419,workclass,1,0.0,0.0,1.0,0.9,3,0,0.3026161566006758,1.0,0.0,0.8,0,0,17,1
13187,workclass,1,0.0,0.0,1.0,0.88,3,0,0.3026161566006758,1.0,0.0,0.8,0,0,17,1
15881,sex,1,0.0,0.0,1.0,0.9,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,18,1
6147,sex,1,0.0,0.0,1.0,0.92,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,18,1
4337,sex,1,0.0,0.0,1.0,0.92,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,18,1
19164,sex,1,0.0,0.0,1.0,0.92,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,18,1
6019,sex,1,0.0,0.0,1.0,0.9,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,18,1
8266,sex,1,0.0,0.0,1.0,0.84,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,19,1
15177,sex,1,0.0,0.0,1.0,0.86,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,19,1
14654,sex,1,0.0,0.0,1.0,0.84,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,19,1
1428,sex,1,0.0,0.0,1.0,0.84,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,19,1
14577,sex,1,0.0,0.0,1.0,0.86,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,19,1
11443,sex,1,0.0,0.0,1.0,0.78,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,20,1
