dataset,algorithm,method,f1_weighted,f1_intentional,accuracy,precision,recall,auc,runtime,n_labeled,n_test,pct_labeled,n_clusters,noise_count,silhouette,eps,min_samples,linkage,n_components,bic,aic,converged,min_cluster_size
llm,kmeans,RandomForest,0.9637,0.9562,0.9638,0.9625,0.9499,0.9618,0.44,433,42826,1.0,15.0,0,0.3803,,,,,,,,
llm,kmeans,ClusterMajorityVote,0.7612,0.7144,0.7611,0.7108,0.718,0.7549,0.44,433,42826,1.0,15.0,0,0.3803,,,,,,,,
llm,kmeans,KNN_k7,0.8869,0.8678,0.8865,0.8418,0.8956,0.8878,0.44,433,42826,1.0,15.0,0,0.3803,,,,,,,,
llm,kmeans,LabelPropagation,0.6713,0.5135,0.7006,0.793,0.3797,0.6545,0.44,433,42826,1.0,15.0,0,0.3803,,,,,,,,
llm,kmeans,LabelSpreading,0.6365,0.438,0.6817,0.8256,0.2981,0.6266,0.44,433,42826,1.0,15.0,0,0.3803,,,,,,,,
llm,dbscan,RandomForest,0.9686,0.9617,0.9687,0.9867,0.938,0.9644,0.89,2064,41195,4.77,398.0,3398,0.4336,0.2873,5.0,,,,,,
llm,dbscan,ClusterMajorityVote,0.8586,0.8219,0.8603,0.8825,0.7691,0.8476,0.89,2064,41195,4.77,398.0,3398,0.4336,0.2873,5.0,,,,,,
llm,dbscan,KNN_k7,0.8687,0.837,0.8698,0.8803,0.7978,0.8598,0.89,2064,41195,4.77,398.0,3398,0.4336,0.2873,5.0,,,,,,
llm,dbscan,LabelPropagation,0.7402,0.6314,0.757,0.8666,0.4966,0.7207,0.89,2064,41195,4.77,398.0,3398,0.4336,0.2873,5.0,,,,,,
llm,dbscan,LabelSpreading,0.6992,0.5546,0.7274,0.8798,0.4049,0.6825,0.89,2064,41195,4.77,398.0,3398,0.4336,0.2873,5.0,,,,,,
llm,hierarchical_ward,RandomForest,0.963,0.9549,0.9631,0.972,0.9385,0.9596,32.25,433,42826,1.0,15.0,0,0.3648,,,ward,,,,,
llm,hierarchical_ward,ClusterMajorityVote,0.7566,0.6751,0.764,0.7916,0.5885,0.7389,32.25,433,42826,1.0,15.0,0,0.3648,,,ward,,,,,
llm,hierarchical_ward,KNN_k7,0.8834,0.8606,0.8833,0.8562,0.865,0.8807,32.25,433,42826,1.0,15.0,0,0.3648,,,ward,,,,,
llm,hierarchical_ward,LabelPropagation,0.6584,0.4847,0.694,0.8121,0.3454,0.6442,32.25,433,42826,1.0,15.0,0,0.3648,,,ward,,,,,
llm,hierarchical_ward,LabelSpreading,0.6244,0.4131,0.6749,0.833,0.2747,0.6177,32.25,433,42826,1.0,15.0,0,0.3648,,,ward,,,,,
llm,hierarchical_average,RandomForest,0.9647,0.9577,0.9647,0.9587,0.9567,0.9636,26.64,460,42799,1.06,15.0,0,0.3548,,,average,,,,,
llm,hierarchical_average,ClusterMajorityVote,0.5475,0.2448,0.6408,1.0,0.1395,0.5697,26.64,460,42799,1.06,15.0,0,0.3548,,,average,,,,,
llm,hierarchical_average,KNN_k7,0.884,0.8645,0.8836,0.841,0.8893,0.8844,26.64,460,42799,1.06,15.0,0,0.3548,,,average,,,,,
llm,hierarchical_average,LabelPropagation,0.6521,0.4748,0.6891,0.8048,0.3367,0.6391,26.64,460,42799,1.06,15.0,0,0.3548,,,average,,,,,
llm,hierarchical_average,LabelSpreading,0.6077,0.3813,0.6646,0.8287,0.2476,0.6055,26.64,460,42799,1.06,15.0,0,0.3548,,,average,,,,,
llm,gmm,RandomForest,0.9606,0.9525,0.9606,0.957,0.9481,0.9588,5.7,433,42826,1.0,,0,0.3785,,,,15.0,-6528417.04,-6567445.69,True,
llm,gmm,ClusterMajorityVote,0.74,0.668,0.7438,0.7258,0.6187,0.7259,5.7,433,42826,1.0,,0,0.3785,,,,15.0,-6528417.04,-6567445.69,True,
llm,gmm,KNN_k7,0.8827,0.8642,0.8821,0.8308,0.9003,0.8847,5.7,433,42826,1.0,,0,0.3785,,,,15.0,-6528417.04,-6567445.69,True,
llm,gmm,LabelPropagation,0.6691,0.5038,0.7021,0.8225,0.3631,0.6536,5.7,433,42826,1.0,,0,0.3785,,,,15.0,-6528417.04,-6567445.69,True,
llm,gmm,LabelSpreading,0.6309,0.4264,0.6788,0.8321,0.2867,0.6227,5.7,433,42826,1.0,,0,0.3785,,,,15.0,-6528417.04,-6567445.69,True,
llm,hdbscan,RandomForest,0.9748,0.9696,0.9748,0.9735,0.9657,0.9735,7.31,1017,42242,2.35,189.0,3404,0.4542,,5.0,,,,,,50.0
llm,hdbscan,ClusterMajorityVote,0.8474,0.7972,0.8516,0.9233,0.7015,0.83,7.31,1017,42242,2.35,189.0,3404,0.4542,,5.0,,,,,,50.0
llm,hdbscan,KNN_k7,0.8946,0.874,0.8945,0.8682,0.8798,0.8924,7.31,1017,42242,2.35,189.0,3404,0.4542,,5.0,,,,,,50.0
llm,hdbscan,LabelPropagation,0.7585,0.6605,0.7719,0.8664,0.5336,0.7375,7.31,1017,42242,2.35,189.0,3404,0.4542,,5.0,,,,,,50.0
llm,hdbscan,LabelSpreading,0.7333,0.6121,0.7537,0.8863,0.4675,0.7124,7.31,1017,42242,2.35,189.0,3404,0.4542,,5.0,,,,,,50.0
kireev,kmeans,RandomForest,0.987,0.9804,0.987,0.9748,0.9861,0.9868,0.31,117,11544,1.0,15.0,0,0.5164,,,,,,,,
kireev,kmeans,ClusterMajorityVote,0.9295,0.8886,0.9306,0.9427,0.8403,0.9076,0.31,117,11544,1.0,15.0,0,0.5164,,,,,,,,
kireev,kmeans,KNN_k7,0.9684,0.9529,0.9682,0.9308,0.9761,0.9702,0.31,117,11544,1.0,15.0,0,0.5164,,,,,,,,
kireev,kmeans,LabelPropagation,0.7222,0.4684,0.7621,0.8864,0.3183,0.6492,0.31,117,11544,1.0,15.0,0,0.5164,,,,,,,,
kireev,kmeans,LabelSpreading,0.7176,0.4564,0.7598,0.8954,0.3062,0.6443,0.31,117,11544,1.0,15.0,0,0.5164,,,,,,,,
kireev,dbscan,RandomForest,0.9937,0.9902,0.9937,0.9924,0.988,0.9922,0.29,585,11076,5.02,117.0,987,0.6441,0.3399,5.0,,,,,,
kireev,dbscan,ClusterMajorityVote,0.9514,0.9219,0.9522,0.9811,0.8694,0.9307,0.29,585,11076,5.02,117.0,987,0.6441,0.3399,5.0,,,,,,
kireev,dbscan,KNN_k7,0.9742,0.9609,0.974,0.9382,0.9847,0.9768,0.29,585,11076,5.02,117.0,987,0.6441,0.3399,5.0,,,,,,
kireev,dbscan,LabelPropagation,0.8534,0.7415,0.8634,0.9598,0.6041,0.796,0.29,585,11076,5.02,117.0,987,0.6441,0.3399,5.0,,,,,,
kireev,dbscan,LabelSpreading,0.8458,0.7254,0.8573,0.9653,0.581,0.7855,0.29,585,11076,5.02,117.0,987,0.6441,0.3399,5.0,,,,,,
kireev,hierarchical_ward,RandomForest,0.9794,0.968,0.9796,0.9983,0.9395,0.9694,2.04,117,11544,1.0,15.0,0,0.507,,,ward,,,,,
kireev,hierarchical_ward,ClusterMajorityVote,0.9028,0.8378,0.9069,0.9827,0.7302,0.8619,2.04,117,11544,1.0,15.0,0,0.507,,,ward,,,,,
kireev,hierarchical_ward,KNN_k7,0.9679,0.9509,0.968,0.9621,0.94,0.9609,2.04,117,11544,1.0,15.0,0,0.507,,,ward,,,,,
kireev,hierarchical_ward,LabelPropagation,0.7336,0.4873,0.7734,0.9569,0.3268,0.6598,2.04,117,11544,1.0,15.0,0,0.507,,,ward,,,,,
kireev,hierarchical_ward,LabelSpreading,0.7088,0.4289,0.7578,0.9607,0.2761,0.6353,2.04,117,11544,1.0,15.0,0,0.507,,,ward,,,,,
kireev,hierarchical_average,RandomForest,0.9687,0.9526,0.9688,0.9529,0.9524,0.9646,1.78,141,11520,1.21,15.0,0,0.3443,,,average,,,,,
kireev,hierarchical_average,ClusterMajorityVote,0.7557,0.5983,0.7642,0.6832,0.5322,0.7054,1.78,141,11520,1.21,15.0,0,0.3443,,,average,,,,,
kireev,hierarchical_average,KNN_k7,0.9435,0.9172,0.943,0.8801,0.9576,0.9467,1.78,141,11520,1.21,15.0,0,0.3443,,,average,,,,,
kireev,hierarchical_average,LabelPropagation,0.7109,0.4485,0.7522,0.8438,0.3054,0.6388,1.78,141,11520,1.21,15.0,0,0.3443,,,average,,,,,
kireev,hierarchical_average,LabelSpreading,0.6997,0.4167,0.7477,0.8789,0.2731,0.6273,1.78,141,11520,1.21,15.0,0,0.3443,,,average,,,,,
