method,accuracy,precision,recall,f1_intentional,f1_weighted,auc,runtime,n_labeled,n_test,pct_labeled,algorithm,n_clusters,noise_count,silhouette,dataset,eps,min_samples,linkage,n_components,bic,aic,converged,min_cluster_size
RandomForest,0.987,0.9748,0.9861,0.9804,0.987,0.9868,0.31,117,11544,1.0,kmeans,15.0,0,0.5164,kireev,,,,,,,,
ClusterMajorityVote,0.9306,0.9427,0.8403,0.8886,0.9295,0.9076,0.31,117,11544,1.0,kmeans,15.0,0,0.5164,kireev,,,,,,,,
KNN_k7,0.9682,0.9308,0.9761,0.9529,0.9684,0.9702,0.31,117,11544,1.0,kmeans,15.0,0,0.5164,kireev,,,,,,,,
LabelPropagation,0.7621,0.8864,0.3183,0.4684,0.7222,0.6492,0.31,117,11544,1.0,kmeans,15.0,0,0.5164,kireev,,,,,,,,
LabelSpreading,0.7598,0.8954,0.3062,0.4564,0.7176,0.6443,0.31,117,11544,1.0,kmeans,15.0,0,0.5164,kireev,,,,,,,,
RandomForest,0.9937,0.9924,0.988,0.9902,0.9937,0.9922,0.29,585,11076,5.02,dbscan,117.0,987,0.6441,kireev,0.3399,5.0,,,,,,
ClusterMajorityVote,0.9522,0.9811,0.8694,0.9219,0.9514,0.9307,0.29,585,11076,5.02,dbscan,117.0,987,0.6441,kireev,0.3399,5.0,,,,,,
KNN_k7,0.974,0.9382,0.9847,0.9609,0.9742,0.9768,0.29,585,11076,5.02,dbscan,117.0,987,0.6441,kireev,0.3399,5.0,,,,,,
LabelPropagation,0.8634,0.9598,0.6041,0.7415,0.8534,0.796,0.29,585,11076,5.02,dbscan,117.0,987,0.6441,kireev,0.3399,5.0,,,,,,
LabelSpreading,0.8573,0.9653,0.581,0.7254,0.8458,0.7855,0.29,585,11076,5.02,dbscan,117.0,987,0.6441,kireev,0.3399,5.0,,,,,,
RandomForest,0.9796,0.9983,0.9395,0.968,0.9794,0.9694,2.04,117,11544,1.0,hierarchical_ward,15.0,0,0.507,kireev,,,ward,,,,,
ClusterMajorityVote,0.9069,0.9827,0.7302,0.8378,0.9028,0.8619,2.04,117,11544,1.0,hierarchical_ward,15.0,0,0.507,kireev,,,ward,,,,,
KNN_k7,0.968,0.9621,0.94,0.9509,0.9679,0.9609,2.04,117,11544,1.0,hierarchical_ward,15.0,0,0.507,kireev,,,ward,,,,,
LabelPropagation,0.7734,0.9569,0.3268,0.4873,0.7336,0.6598,2.04,117,11544,1.0,hierarchical_ward,15.0,0,0.507,kireev,,,ward,,,,,
LabelSpreading,0.7578,0.9607,0.2761,0.4289,0.7088,0.6353,2.04,117,11544,1.0,hierarchical_ward,15.0,0,0.507,kireev,,,ward,,,,,
RandomForest,0.9688,0.9529,0.9524,0.9526,0.9687,0.9646,1.78,141,11520,1.21,hierarchical_average,15.0,0,0.3443,kireev,,,average,,,,,
ClusterMajorityVote,0.7642,0.6832,0.5322,0.5983,0.7557,0.7054,1.78,141,11520,1.21,hierarchical_average,15.0,0,0.3443,kireev,,,average,,,,,
KNN_k7,0.943,0.8801,0.9576,0.9172,0.9435,0.9467,1.78,141,11520,1.21,hierarchical_average,15.0,0,0.3443,kireev,,,average,,,,,
LabelPropagation,0.7522,0.8438,0.3054,0.4485,0.7109,0.6388,1.78,141,11520,1.21,hierarchical_average,15.0,0,0.3443,kireev,,,average,,,,,
LabelSpreading,0.7477,0.8789,0.2731,0.4167,0.6997,0.6273,1.78,141,11520,1.21,hierarchical_average,15.0,0,0.3443,kireev,,,average,,,,,
RandomForest,0.9351,0.8647,0.9515,0.9061,0.9359,0.9393,1.11,117,11544,1.0,gmm,,0,0.5126,kireev,,,,15.0,-2147440.12,-2180570.78,True,
ClusterMajorityVote,0.8976,0.7869,0.9444,0.8585,0.8996,0.9095,1.11,117,11544,1.0,gmm,,0,0.5126,kireev,,,,15.0,-2147440.12,-2180570.78,True,
KNN_k7,0.91,0.8105,0.9478,0.8738,0.9116,0.9196,1.11,117,11544,1.0,gmm,,0,0.5126,kireev,,,,15.0,-2147440.12,-2180570.78,True,
LabelPropagation,0.7555,0.8618,0.3056,0.4512,0.714,0.6408,1.11,117,11544,1.0,gmm,,0,0.5126,kireev,,,,15.0,-2147440.12,-2180570.78,True,
LabelSpreading,0.7526,0.8963,0.28,0.4267,0.7056,0.6321,1.11,117,11544,1.0,gmm,,0,0.5126,kireev,,,,15.0,-2147440.12,-2180570.78,True,
RandomForest,0.9911,0.997,0.9759,0.9863,0.9911,0.9872,0.96,450,11211,3.86,hdbscan,90.0,1005,0.617,kireev,,5.0,,,,,,50.0
ClusterMajorityVote,0.9408,0.9476,0.8681,0.9061,0.9401,0.9223,0.96,450,11211,3.86,hdbscan,90.0,1005,0.617,kireev,,5.0,,,,,,50.0
KNN_k7,0.9742,0.9512,0.9716,0.9613,0.9743,0.9735,0.96,450,11211,3.86,hdbscan,90.0,1005,0.617,kireev,,5.0,,,,,,50.0
LabelPropagation,0.8623,0.9225,0.6351,0.7522,0.8545,0.8044,0.96,450,11211,3.86,hdbscan,90.0,1005,0.617,kireev,,5.0,,,,,,50.0
LabelSpreading,0.8584,0.9554,0.5979,0.7355,0.8481,0.7921,0.96,450,11211,3.86,hdbscan,90.0,1005,0.617,kireev,,5.0,,,,,,50.0
