row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,cluster,true_label
11822,education,1,0.0,0.0,0.4375,0.68,1,0,0.5859149701202273,1.0,1.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,200.0,0,1
30588,relationship,1,0.0,0.0,0.33333333333333337,0.6,1,0,1.0,1.0,1.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,162.0,177.0,0,1
6931,relationship,1,0.0,0.0,1.0,0.54,1,0,1.0,1.0,1.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,69.0,19.0,0,1
16691,relationship,1,0.0,0.0,0.33333333333333337,0.82,2,0,1.0,1.0,1.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,69.0,177.0,0,1
11919,education,1,0.0,0.0,0.25,0.66,2,0,0.5859149701202273,1.0,1.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,125.0,0,1
23607,relationship,1,0.0,0.0,1.0,0.8,1,0,1.0,1.0,1.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,69.0,19.0,0,1
6126,relationship,1,0.0,0.0,1.0,0.54,2,0,1.0,1.0,1.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,69.0,19.0,0,1
33347,age,1,,,0.9574392304656965,0.9522499738307185,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,14.0,0.5833333333333334,1.0,23.0,37.0,3.1780538303479458,3.6375861597263857,0.0,13.0,28.0,1,1
5319,age,1,,,0.9453126572528859,0.8176817182627425,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,14.0,0.5,1.0,27.0,41.0,3.332204510175204,3.7376696182833684,0.0,17.0,33.0,1,1
20319,age,1,,,0.7508164326900506,0.8046589838529383,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,14.0,0.3888888888888889,1.0,35.0,49.0,3.58351893845611,3.912023005428146,0.0,26.0,41.0,1,1
22628,age,1,,,0.9817512585360508,0.9189696525612192,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,14.0,0.56,1.0,24.0,38.0,3.2188758248682006,3.6635616461296463,0.0,14.0,29.0,1,1
23292,age,1,,,0.9574392304656965,0.9522499738307185,3,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,14.0,0.5833333333333334,1.0,23.0,37.0,3.1780538303479458,3.6375861597263857,0.0,13.0,28.0,1,1
37220,age,0,,,0.22807838835506422,0.6295755545655726,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,15.0,0.6521739130434783,-1.0,22.0,7.0,3.1354942159291497,2.0794415416798357,0.0,12.0,64.0,1,0
31395,age,1,,,0.9453126572528859,0.6414407125833943,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,14.0,0.5,1.0,27.0,41.0,3.332204510175204,3.7376696182833684,0.0,17.0,33.0,1,1
34868,age,1,,,0.9574392304656965,0.8712196263919372,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,14.0,0.5833333333333334,1.0,23.0,37.0,3.1780538303479458,3.6375861597263857,0.0,13.0,28.0,1,1
47344,workclass,1,0.0,1.0,0.6666666666666667,0.62,1,0,0.1481239724012969,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2,0
36809,workclass,1,0.0,1.0,0.6666666666666667,0.96,2,0,0.1481239724012969,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2,0
28451,occupation,1,0.0,1.0,0.5333333333333333,0.72,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,2,0
41165,occupation,1,0.0,0.0,0.8,0.88,2,0,0.5829324218970628,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,1.0,2,0
29574,workclass,1,0.0,1.0,0.6666666666666667,0.68,1,0,0.1481239724012969,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2,0
7216,workclass,1,0.0,1.0,0.6666666666666667,0.66,1,0,0.1481239724012969,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
10928,workclass,1,0.0,1.0,0.6666666666666667,0.58,1,0,0.1481239724012969,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2,0
39703,occupation,1,0.0,0.0,0.8,0.54,2,0,0.5829324218970628,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,1.0,2,0
3737,occupation,1,0.0,1.0,0.5333333333333333,0.74,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,2,0
19136,occupation,1,0.0,1.0,0.5333333333333333,0.56,3,0,0.5829324218970628,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,2,0
9009,occupation,1,0.0,1.0,0.5333333333333333,0.68,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,2,0
4012,occupation,1,0.0,1.0,0.5333333333333333,0.68,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,2,0
42590,occupation,1,0.0,1.0,0.5333333333333333,0.62,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,2,0
9917,occupation,1,0.0,1.0,0.5333333333333333,0.58,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,2,0
4038,occupation,1,0.0,0.0,0.8,0.76,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,1.0,2,0
46584,occupation,1,0.0,0.0,0.8,0.78,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,1.0,2,0
35503,occupation,1,0.0,1.0,0.5333333333333333,0.68,1,0,0.5829324218970628,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2,0
20667,workclass,1,0.0,1.0,0.6666666666666667,0.62,1,0,0.1481239724012969,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
7705,workclass,1,0.0,1.0,0.6666666666666667,0.7,1,0,0.1481239724012969,1.0,0.0,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2,0
16751,fnlwgt,1,,,0.8217855618040167,0.6645563201801512,1,0,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,44175.0,0.2187249338997653,1.0,201965.0,246140.0,12.215854645384791,12.413659821446604,2.0,11959.0,16098.0,3,0
21883,fnlwgt,0,,,0.3309577314400939,0.5735800102441788,2,1,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,53231.0,0.1527734329035017,1.0,348430.0,401661.0,12.761195498188155,12.903366217914028,2.0,21933.0,23656.0,3,0
