row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,cluster,true_label
3745,age,1,,,0.9817512585360508,0.9768484721603483,2,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,14.0,0.56,1.0,24.0,38.0,3.2188758248682006,3.6635616461296463,0.0,14.0,29.0,0,1
30729,age,0,,,0.27670244449577297,0.4979012399775533,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,12.0,0.5454545454545454,-1.0,21.0,9.0,3.091042453358316,2.302585092994046,0.0,11.0,86.0,0,0
38009,age,0,,,0.3739505567771907,0.8017650428729821,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,10.0,0.4166666666666667,-1.0,23.0,13.0,3.1780538303479458,2.6390573296152584,0.0,13.0,3.0,0,0
28859,age,1,,,0.8480645449714683,0.7800604855233086,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,14.0,0.4375,1.0,31.0,45.0,3.4657359027997265,3.828641396489095,0.0,22.0,37.0,0,1
19357,age,1,,,0.8601911181842788,0.8075529248328953,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,1.0,0.030303030303030304,1.0,32.0,33.0,3.4965075614664802,3.5263605246161616,0.0,23.0,24.0,0,1
19447,age,1,,,0.4104480397050889,0.4979012399775534,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,10.0,0.18518518518518517,1.0,53.0,63.0,3.9889840465642745,4.1588830833596715,0.0,46.0,57.0,0,0
3802,age,1,,,0.9574392304656965,0.9479090623607838,3,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,14.0,0.5833333333333334,1.0,23.0,37.0,3.1780538303479458,3.6375861597263857,0.0,13.0,28.0,0,1
34018,age,1,,,0.5563202081272154,0.6787725512248325,1,0,0.6330627701966957,1.0,0.637973857781612,0.0,1,0,13.0,0.28888888888888886,1.0,44.0,57.0,3.8066624897703196,4.060443010546419,0.0,36.0,50.0,0,0
15898,sex,0,1.0,0.0,0.0,0.52,1,0,0.23351546360912023,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,37.0,28.0,1,0
18027,native-country,0,1.0,0.0,0.0,0.62,1,0,0.0639117874016856,1.0,0.5,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,99.0,123.0,1,0
26042,sex,0,1.0,0.0,0.0,0.64,1,0,0.23351546360912023,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,37.0,42.0,1,0
48157,race,0,5.0,1.0,0.0,0.7,1,0,0.09134469573695347,0.5,0.5,0.8,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,1,0
19318,race,0,5.0,1.0,0.0,0.68,1,0,0.09134469573695347,0.5,0.5,0.8,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,1,0
25932,native-country,0,1.0,0.0,0.0,0.54,1,0,0.0639117874016856,1.0,0.5,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,99.0,106.0,1,0
24034,sex,0,1.0,0.0,0.0,0.52,1,0,0.23351546360912023,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,3.0,1,0
26013,race,0,5.0,1.0,0.0,0.7,1,0,0.09134469573695347,0.5,0.5,0.8,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,1,0
11931,fnlwgt,1,,,0.6436346629993044,0.7555095304485246,1,0,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,45353.0,0.37141102284825156,-1.0,122109.0,76756.0,11.712677556827067,11.248399866502227,2.0,2506.0,27127.0,2,0
44675,fnlwgt,1,,,0.6949673747287121,0.6238759172826264,2,1,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,48432.0,0.3423869243711737,-1.0,141453.0,93021.0,11.859729854873537,11.440591303299476,2.0,4322.0,28180.0,2,0
4282,fnlwgt,1,,,0.6033038469408907,0.2914022001204857,1,0,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,62607.0,0.49458466642967175,-1.0,126584.0,63977.0,11.748669298260177,11.066294553246234,2.0,2941.0,26361.0,2,0
28436,fnlwgt,1,,,0.682254914670547,0.7054777904534333,3,1,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,33116.0,0.27119810007370404,-1.0,122109.0,88993.0,11.712677556827067,11.396324230711397,2.0,2506.0,27889.0,2,0
24269,fnlwgt,1,,,0.7304536957053773,0.14003235778603473,1,0,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,62475.0,0.37468289143042205,-1.0,166740.0,104265.0,12.024196989307782,11.55470060510285,2.0,6997.0,476.0,2,0
8026,education-num,1,,,0.6230116490733759,0.9536839931749558,2,0,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,3.0,0.2727272727272727,1.0,10.0,13.0,2.3978952727983707,2.6390573296152584,4.0,1.0,4.0,3,1
27149,education-num,1,,,0.8601566012710152,0.8687713139957073,1,0,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,1.0,0.09090909090909091,-1.0,10.0,9.0,2.3978952727983707,2.302585092994046,4.0,1.0,18.0,3,0
33139,education-num,1,,,0.8601566012710152,0.8842099829373885,2,1,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,1.0,0.09090909090909091,-1.0,10.0,9.0,2.3978952727983707,2.302585092994046,4.0,1.0,18.0,3,0
15718,education-num,1,,,0.7522195864872782,0.9305259897624334,2,0,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,3.0,0.3,1.0,9.0,12.0,2.302585092994046,2.5649493574615367,4.0,18.0,3.0,3,1
45923,education-num,0,,,0.36459577424557166,0.6912266211663697,1,0,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,2.0,0.14285714285714285,1.0,13.0,15.0,2.6390573296152584,2.772588722239781,4.0,4.0,6.0,3,0
3513,education-num,1,,,0.730948663857113,0.9073679863499109,1,0,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,1.0,0.1,-1.0,9.0,8.0,2.302585092994046,2.1972245773362196,4.0,18.0,17.0,3,0
30038,education-num,1,,,0.6230116490733759,0.8842099829373885,2,0,0.5796144060714694,0.0,0.6705992085492782,0.3,0,0,3.0,0.2727272727272727,1.0,10.0,13.0,2.3978952727983707,2.6390573296152584,4.0,1.0,4.0,3,1
21883,fnlwgt,0,,,0.3309577314400939,0.5735800102441788,2,1,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,53231.0,0.1527734329035017,1.0,348430.0,401661.0,12.761195498188155,12.903366217914028,2.0,21933.0,23656.0,4,0
17708,fnlwgt,1,,,0.4710188697025828,0.638142133519464,1,0,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,59435.0,0.19954809164406007,1.0,297847.0,357282.0,12.604338568244966,12.786283463814371,2.0,19380.0,22294.0,4,0
3100,fnlwgt,1,,,0.6960527673012272,0.5829378303547228,2,1,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,53623.0,0.23077850032493102,1.0,232356.0,285979.0,12.35603026102295,12.563677157286838,2.0,14970.0,18732.0,4,0
18980,fnlwgt,1,,,0.739763683836874,0.7256849013105404,1,0,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,42765.0,0.18644954548427178,1.0,229364.0,272129.0,12.343069900110361,12.514035172277099,2.0,14713.0,17873.0,4,0
13996,fnlwgt,0,,,0.1045635879911343,0.1994677386315935,1,0,0.2848033457360519,0.0,0.4961814389782461,0.3,0,0,54755.0,0.13079225398372352,1.0,418640.0,473395.0,12.944769029730415,13.06768752651217,2.0,24034.0,24891.0,4,0
44307,education,0,1.0,0.0,0.0,0.76,1,0,0.5859149701202273,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,230.0,224.0,5,0
10658,education,0,1.0,0.0,0.0,0.62,1,0,0.5859149701202273,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,103.0,95.0,5,0
