row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,cluster,true_label
2461,sex,0,1.0,0.0,0.0,0.66,2,0,0.0916374289172061,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0,0
4208,race,0,1.0,0.0,0.0,0.6,3,0,0.0,0.5,0.5,0.8,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,0,0
4473,race,0,1.0,0.0,0.0,0.66,2,0,0.0,0.5,0.5,0.8,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,0,0
11866,sex,0,1.0,0.0,0.0,0.62,2,0,0.0916374289172061,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,34.0,0,0
10245,sex,0,1.0,0.0,0.0,0.7,2,0,0.0916374289172061,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,34.0,0,0
9004,sex,0,1.0,0.0,0.0,0.68,2,0,0.0916374289172061,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0,0
5213,sex,0,1.0,0.0,0.0,0.56,3,0,0.0916374289172061,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0,0
12589,sex,0,5.0,0.0,0.0,0.62,2,0,0.0916374289172061,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0,0
13328,sex,0,1.0,0.0,0.0,0.58,3,0,0.0916374289172061,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,29.0,0,0
11054,sex,0,5.0,0.0,0.0,0.66,3,0,0.0916374289172061,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0,0
