row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,cluster,true_label
14430,race,1,0.0,0.0,1.0,0.94,3,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,0,1
7763,race,1,0.0,0.0,1.0,0.94,3,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,0,1
11365,race,1,0.0,0.0,1.0,0.96,3,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,49.0,0,1
2134,race,1,0.0,0.0,1.0,0.88,3,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,0,1
19280,race,1,0.0,0.0,1.0,0.94,3,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,0,1
18653,sex,1,0.0,0.0,1.0,0.82,3,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,1,1
1548,sex,1,0.0,0.0,1.0,0.98,3,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,1,1
8748,sex,1,0.0,0.0,1.0,0.94,3,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,1,1
14332,sex,1,0.0,0.0,1.0,0.86,3,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,1,1
13240,sex,1,0.0,0.0,1.0,0.8,3,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,1,1
8577,race,1,0.0,0.0,1.0,0.86,1,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,2,1
14524,race,1,0.0,0.0,1.0,0.94,1,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,2,1
8133,race,1,0.0,0.0,1.0,0.92,1,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,2,1
6686,race,1,0.0,0.0,1.0,1.0,1,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,2,1
2307,race,1,0.0,0.0,1.0,0.88,1,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,2,1
9895,race,1,0.0,0.0,1.0,0.98,2,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,3,1
3772,race,1,0.0,0.0,1.0,0.94,2,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,3,1
8039,race,1,0.0,0.0,1.0,0.96,2,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,3,1
7853,race,1,0.0,0.0,1.0,1.0,2,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,49.0,3,1
14666,race,1,0.0,0.0,1.0,0.76,2,0,0.0,0.5,1.0,0.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,49.0,3,1
3302,sex,1,0.0,0.0,1.0,0.62,2,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,4,1
16112,sex,1,0.0,0.0,1.0,0.82,2,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,4,1
15023,sex,1,0.0,0.0,1.0,0.7,2,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,4,1
5288,sex,1,0.0,0.0,1.0,0.98,2,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,4,1
11612,sex,1,0.0,0.0,1.0,0.82,2,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,4,1
13811,capital-loss,0,,,0.0,0.0,3,0,0.0,1.0,0.6024412396945391,1.0,0,0,39200.0,8.99701629561625,1.0,4356.0,43556.0,8.379539026117442,10.681825704151798,11.0,214.0,213.0,5,0
9541,capital-loss,0,,,0.0,0.0,2,0,0.0,1.0,0.6024412396945391,1.0,0,0,17120.0,8.996321597477667,1.0,1902.0,19022.0,7.551186867296149,9.853404052368141,11.0,109.0,111.0,5,0
250,capital-loss,0,,,0.0,0.0,2,0,0.0,1.0,0.6024412396945391,1.0,0,0,18000.0,9.458749343142406,1.0,1902.0,19902.0,7.551186867296149,9.898625753119221,11.0,109.0,126.0,5,0
15433,capital-loss,0,,,0.0,0.0,3,0,0.0,1.0,0.6024412396945391,1.0,0,0,16983.0,8.995233050847459,1.0,1887.0,18870.0,7.543273346705446,9.845381631129095,11.0,104.0,105.0,5,0
5657,capital-loss,0,,,0.0,0.0,3,0,0.0,1.0,0.6024412396945391,1.0,0,0,23031.0,8.996484375,1.0,2559.0,25590.0,7.847762537473608,10.149996006155071,11.0,189.0,190.0,5,0
425,sex,1,0.0,0.0,1.0,0.82,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,6,1
10181,sex,1,0.0,0.0,1.0,0.82,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,6,1
12296,sex,1,0.0,0.0,1.0,0.7833333333333334,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,6,1
15009,sex,1,0.0,0.0,1.0,0.8,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,6,1
2465,sex,1,0.0,0.0,1.0,0.82,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,6,1
16153,sex,1,0.0,0.0,1.0,0.68,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,7,1
6226,sex,1,0.0,0.0,1.0,0.66,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,7,1
4867,sex,1,0.0,0.0,1.0,0.7,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,7,1
6829,sex,1,0.0,0.0,1.0,0.7,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,7,1
17054,sex,1,0.0,0.0,1.0,0.7,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,7,1
8111,sex,1,0.0,0.0,1.0,0.72,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,8,1
6765,sex,1,0.0,0.0,1.0,0.72,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,8,1
9291,sex,1,0.0,0.0,1.0,0.74,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,8,1
13543,sex,1,0.0,0.0,1.0,0.74,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,8,1
3529,sex,1,0.0,0.0,1.0,0.76,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,8,1
14654,sex,1,0.0,0.0,1.0,0.84,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,9,1
14136,sex,1,0.0,0.0,1.0,0.86,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,9,1
17257,sex,1,0.0,0.0,1.0,0.86,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,9,1
2144,sex,1,0.0,0.0,1.0,0.84,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,9,1
8151,sex,1,0.0,0.0,1.0,0.84,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,9,1
5222,sex,1,0.0,0.0,1.0,0.9,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,10,1
17794,sex,1,0.0,0.0,1.0,0.92,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,10,1
16443,sex,1,0.0,0.0,1.0,0.88,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,10,1
6148,sex,1,0.0,0.0,1.0,0.92,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,10,1
15535,sex,1,0.0,0.0,1.0,0.88,1,0,0.0916374289172061,0.5,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,26.0,10,1
