row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,true_label
92,followers_count,0,,,0.9509922096633139,0.9748255812056883,3,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,1713.0,0.9994165694282381,-1.0,1713.0,0.0,7.446585099157725,0.0,1.0,778.0,0.0,0
97,followers_count,0,,,0.9509922096633139,0.9998718874940501,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,231.0,0.9956896551724138,-1.0,231.0,0.0,5.44673737166631,0.0,1.0,1190.0,0.0,0
100,followers_count,0,,,0.9509922096633139,0.9999981704291744,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,112.0,0.9911504424778761,-1.0,112.0,0.0,4.727387818712341,0.0,1.0,175.0,0.0,0
118,followers_count,0,,,0.9509922096633139,0.9989619487033375,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,1038.0,0.9990375360923965,-1.0,1038.0,0.0,6.946013991099227,0.0,1.0,74.0,0.0,0
165,followers_count,0,,,0.9509922096633139,0.9985780134589888,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,19738.0,0.9999493388722833,-1.0,19738.0,0.0,9.890351653142988,0.0,1.0,991.0,0.0,0
175,followers_count,0,,,0.9509922096633139,0.9999996905588455,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,4.0,0.8,-1.0,4.0,0.0,1.6094379124341003,0.0,1.0,2001.0,0.0,0
219,followers_count,0,,,0.9509922096633139,0.9999975670189233,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,4.0,0.8,-1.0,4.0,0.0,1.6094379124341003,0.0,1.0,2001.0,0.0,0
257,followers_count,0,,,0.9509922096633139,0.9996743247890021,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,1204.0,0.9991701244813278,-1.0,1204.0,0.0,7.094234845924755,0.0,1.0,285.0,0.0,0
310,followers_count,0,,,0.9509922096633139,0.9999895989091966,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,7.0,0.875,-1.0,7.0,0.0,2.0794415416798357,0.0,1.0,2798.0,0.0,0
320,followers_count,0,,,0.9509922096633139,0.9999270685879145,3,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,435.0,0.9977064220183486,-1.0,435.0,0.0,6.077642243349034,0.0,1.0,2123.0,0.0,0
376,followers_count,0,,,0.9509922096633139,0.9998816619665158,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,1792.0,0.9994422755158952,-1.0,1792.0,0.0,7.491645473605133,0.0,1.0,850.0,0.0,0
396,followers_count,0,,,0.9509922096633139,0.9989875124107083,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,7255.0,0.9998621830209482,-1.0,7255.0,0.0,8.889583991794973,0.0,1.0,2851.0,0.0,0
520,followers_count,0,,,0.9509922096633139,0.9997506059015844,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,3164.0,0.9996840442338073,-1.0,3164.0,0.0,8.059908334578276,0.0,1.0,1635.0,0.0,0
525,followers_count,0,,,0.9509922096633139,0.9999875875416928,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,52.0,0.9811320754716981,-1.0,52.0,0.0,3.970291913552122,0.0,1.0,2386.0,0.0,0
567,followers_count,0,,,0.9509922096633139,0.9999894906047926,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,13.0,0.9285714285714286,-1.0,13.0,0.0,2.6390573296152584,0.0,1.0,378.0,0.0,0
