row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,cluster,true_label
2253,statuses_count,0,,,0.9188349053998566,0.9556330228371136,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,663.0,0.9984939759036144,-1.0,663.0,0.0,6.498282149476434,0.0,4.0,2960.0,0.0,0,0
3590,friends_count,0,,,0.9484261507882511,0.9975031030584416,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,87.0,0.9886363636363636,-1.0,87.0,0.0,4.477336814478207,0.0,2.0,2392.0,0.0,0,0
1109,statuses_count,0,,,0.9188349053998566,0.9121311410836765,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,794.0,0.9987421383647799,-1.0,794.0,0.0,6.678342114654332,0.0,4.0,3256.0,0.0,0,0
538,friends_count,0,,,0.9484261507882511,0.9912337833845853,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,635.0,0.9984276729559748,-1.0,635.0,0.0,6.455198563340122,0.0,2.0,2075.0,0.0,0,0
3428,friends_count,0,,,0.9484261507882511,0.9929641029960128,2,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,436.0,0.9977116704805492,-1.0,436.0,0.0,6.07993319509559,0.0,2.0,1635.0,0.0,0,0
4000,statuses_count,1,,,0.9188582406082514,0.9954436798311169,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,168.0,0.9545454545454546,-1.0,175.0,7.0,5.170483995038151,2.0794415416798357,4.0,870.0,3061.0,1,1
2725,friends_count,1,,,0.9487026977345987,0.9986308865791076,2,1,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,28.0,0.45901639344262296,-1.0,60.0,32.0,4.110873864173311,3.4965075614664802,2.0,2010.0,1297.0,1,1
1943,statuses_count,1,,,0.9188582406082514,0.9969813297769295,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,352.0,0.9777777777777777,-1.0,359.0,7.0,5.886104031450156,2.0794415416798357,4.0,1969.0,3061.0,1,1
3176,statuses_count,1,,,0.9188582406082514,0.9999872325838167,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,197.0,0.9609756097560975,-1.0,204.0,7.0,5.3230099791384085,2.0794415416798357,4.0,1095.0,3061.0,1,1
3044,statuses_count,1,,,0.9188582406082514,0.9988702895938492,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,259.0,0.9700374531835206,-1.0,266.0,7.0,5.58724865840025,2.0794415416798357,4.0,1523.0,3061.0,1,1
2340,verified,1,,,0.4153523578281736,0.9536175578960271,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.6931471805599453,6.0,1.0,1.0,2,0
3665,verified,1,,,0.8099520068218187,1.0,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2,0
2185,verified,1,,,0.8099520068218187,1.0,2,1,1.0,1.0,0.17443617574011616,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2,0
2041,verified,1,,,0.4153523578281736,1.0,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.6931471805599453,6.0,1.0,1.0,2,0
914,verified,1,,,0.8099520068218187,0.9536175578960271,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2,0
3128,description_length,1,,,0.5876575383420974,0.8910804069888218,2,1,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,14.0,7.0,1.0,1.0,15.0,0.6931471805599453,2.772588722239781,13.0,1.0,57.0,3,1
1148,description_length,1,,,0.5876575383420974,0.9081658333435165,2,1,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,14.0,7.0,1.0,1.0,15.0,0.6931471805599453,2.772588722239781,13.0,1.0,57.0,3,1
2567,description_length,1,,,0.8826626094593022,0.7896356880078228,2,1,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,56.0,1.1666666666666667,1.0,47.0,103.0,3.871201010907891,4.6443908991413725,13.0,139.0,6.0,3,1
2516,description_length,1,,,0.5876575383420974,0.9526591311422004,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,14.0,7.0,1.0,1.0,15.0,0.6931471805599453,2.772588722239781,13.0,1.0,57.0,3,1
1739,name_length,1,,,0.731551546366376,0.6401666584142903,1,0,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,3.0,0.17647058823529413,1.0,16.0,19.0,2.833213344056216,2.995732273553991,15.0,6.0,9.0,3,0
3254,followers_count,0,,,0.004660811160064338,0.24608832828650662,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,193438.0,0.012752722458162773,-1.0,15168368.0,14974930.0,16.534722830712678,16.521888094275706,1.0,608.0,589.0,4,0
2347,followers_count,0,,,0.20643537909084586,0.5546384043675932,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,195971.0,0.01596160633033246,-1.0,12277648.0,12081677.0,16.32329101284307,16.30720064810899,1.0,310.0,289.0,4,0
1129,followers_count,0,,,0.0,0.0,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,197073.0,0.004929815426037434,-1.0,39975735.0,39778662.0,17.503783228021994,17.498841220971077,1.0,1999.0,1988.0,4,0
290,description_length,0,,,0.49142180953988135,0.8127722028631381,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,53.0,0.45689655172413796,1.0,115.0,168.0,4.7535901911063645,5.1298987149230735,13.0,19.0,77.0,5,0
1308,description_length,0,,,0.3048300434244653,0.471775568534025,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,42.0,0.26582278481012656,1.0,157.0,199.0,5.062595033026967,5.298317366548036,13.0,65.0,101.0,5,0
3399,description_length,0,,,0.3830782034083494,0.27778479013176316,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,35.0,0.23026315789473684,1.0,151.0,186.0,5.0238805208462765,5.231108616854587,13.0,59.0,90.0,5,0
4040,description_length,0,,,0.5215172556875292,0.7398031944732967,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,44.0,0.36666666666666664,1.0,119.0,163.0,4.787491742782046,5.099866427824199,13.0,23.0,72.0,5,0
67,description_length,0,,,0.4432690957036449,0.37104274231780476,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,43.0,0.3208955223880597,1.0,133.0,176.0,4.897839799950911,5.176149732573829,13.0,39.0,84.0,5,0
2330,listed_count,1,,,0.9521157625867203,0.9882583196820547,1,0,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,4.0,0.8,-1.0,4.0,0.0,1.6094379124341003,0.0,5.0,762.0,0.0,6,0
1845,listed_count,1,,,0.9521157625867203,0.9986753424738175,1,0,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,10.0,0.9090909090909091,-1.0,10.0,0.0,2.3978952727983707,0.0,5.0,2.0,0.0,6,0
3409,listed_count,1,,,0.9521157625867203,0.9974119306720952,1,0,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,79.0,0.9875,-1.0,79.0,0.0,4.382026634673881,0.0,5.0,1154.0,0.0,6,0
3430,listed_count,1,,,0.9521157625867203,0.8755189399735208,1,0,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,303.0,0.9967105263157895,-1.0,303.0,0.0,5.717027701406222,0.0,5.0,618.0,0.0,6,0
990,listed_count,1,,,0.9521157625867203,0.9999807513437411,1,0,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,2.0,0.6666666666666666,-1.0,2.0,0.0,1.0986122886681098,0.0,5.0,383.0,0.0,6,0
1053,followers_count,0,,,0.0,0.0,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,196294.0,0.0022554280868438744,-1.0,87031814.0,86835520.0,18.281784299425865,18.27952632403019,1.0,3119.0,3114.0,7,0
