row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,cluster,true_label
3554,verified,1,,,0.4153523578281736,0.9072351157920542,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.6931471805599453,6.0,1.0,1.0,0,0
2185,verified,1,,,0.8099520068218187,1.0,2,1,1.0,1.0,0.17443617574011616,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0
3215,verified,1,,,0.4153523578281736,1.0,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.6931471805599453,6.0,1.0,1.0,0,0
438,verified,1,,,0.8099520068218187,0.9072351157920543,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0
4557,verified,1,,,0.8099520068218187,1.0,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0
4105,name_length,1,,,0.5696797464158561,0.14742190236899355,1,0,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,3.0,0.15,1.0,19.0,22.0,2.995732273553991,3.1354942159291497,15.0,9.0,13.0,1,0
627,description_length,1,,,0.5876575383420974,0.9982202680880526,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,14.0,7.0,1.0,1.0,15.0,0.6931471805599453,2.772588722239781,13.0,1.0,57.0,1,1
3870,description_length,0,,,0.4973711998991541,0.6981574677337286,2,1,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,1.0,0.5,-1.0,1.0,0.0,0.6931471805599453,0.0,13.0,1.0,0.0,1,0
1412,name_length,1,,,0.5670039871813715,0.6207162075177652,1,0,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,3.0,0.3,-1.0,9.0,6.0,2.302585092994046,1.9459101490553132,15.0,49.0,46.0,1,0
1190,name_length,1,,,0.7288757871318914,0.7050014947360397,2,1,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,6.0,0.375,-1.0,15.0,9.0,2.772588722239781,2.302585092994046,15.0,5.0,49.0,1,1
1217,statuses_count,1,,,0.9188582406082514,0.9881221844282213,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,185.0,0.9585492227979274,-1.0,192.0,7.0,5.262690188904886,2.0794415416798357,4.0,1007.0,3061.0,2,1
3361,statuses_count,1,,,0.9188582406082514,0.9999845555449396,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,694.0,0.9886039886039886,-1.0,701.0,7.0,6.553933404025811,2.0794415416798357,4.0,3064.0,3061.0,2,1
1112,statuses_count,1,,,0.9188582406082514,0.9681257336463633,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,205.0,0.9624413145539906,-1.0,212.0,7.0,5.3612921657094255,2.0794415416798357,4.0,1168.0,3061.0,2,1
812,statuses_count,1,,,0.9188582406082514,0.9819042468209076,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,1856.0,0.9957081545064378,-1.0,1863.0,7.0,7.530479995245536,2.0794415416798357,4.0,962.0,3061.0,2,1
