row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,cluster,true_label
4057,statuses_count,1,,,0.9188582406082514,0.9999244251332379,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,11.0,0.5789473684210527,-1.0,18.0,7.0,2.9444389791664403,2.0794415416798357,4.0,916.0,3061.0,0,1
576,statuses_count,1,,,0.9188582406082514,0.9997794531817376,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,1105.0,0.9928122192273136,-1.0,1112.0,7.0,7.014814351275545,2.0794415416798357,4.0,157.0,3061.0,0,1
2918,statuses_count,1,,,0.9188582406082514,0.9875070832646828,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,154.0,0.9506172839506173,-1.0,161.0,7.0,5.087596335232384,2.0794415416798357,4.0,734.0,3061.0,0,1
2185,followers_count,0,,,0.9509922096633139,0.9999804742631553,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,417.0,0.9976076555023924,-1.0,417.0,0.0,6.035481432524756,0.0,1.0,2068.0,0.0,0,0
530,statuses_count,1,,,0.9188582406082514,0.9966364036139141,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,143.0,0.9470198675496688,-1.0,150.0,7.0,5.017279836814924,2.0794415416798357,4.0,624.0,3061.0,0,1
3261,followers_count,0,,,0.9509922096633139,0.7843303574043434,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,212959.0,0.9999953042824944,-1.0,212959.0,0.0,12.268859633628939,0.0,1.0,1091.0,0.0,1,0
804,followers_count,0,,,0.9509922096633139,0.9853643191706031,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,101889.0,0.9999901854941604,-1.0,101889.0,0.0,11.53164907896833,0.0,1.0,29.0,0.0,1,0
3159,followers_count,0,,,0.9509922096633139,0.9734155545652959,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,83015.0,0.9999879541293245,-1.0,83015.0,0.0,11.326788639285114,0.0,1.0,3042.0,0.0,1,0
4317,followers_count,0,,,0.9509922096633139,0.9808986462264979,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,162874.0,0.9999938603223331,-1.0,162874.0,0.0,12.000738314427146,0.0,1.0,717.0,0.0,1,0
3798,followers_count,0,,,0.9509922096633139,0.9784941608120739,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,210431.0,0.9999952478710462,-1.0,210431.0,0.0,12.256917839535742,0.0,1.0,1078.0,0.0,1,0
