method,accuracy,precision,recall,f1_intentional,f1_weighted,auc,runtime,n_labeled,n_test,pct_labeled,algorithm,n_clusters,noise_count,silhouette,dataset,eps,min_samples,linkage,n_components,bic,aic,converged,min_cluster_size
RandomForest,0.9229,0.9379,0.8168,0.8732,0.9214,0.8954,0.07,75,1024,6.82,kmeans,15.0,0,0.62,twitter,,,,,,,,
ClusterMajorityVote,0.8438,0.8986,0.5856,0.7091,0.8333,0.7769,0.07,75,1024,6.82,kmeans,15.0,0,0.62,twitter,,,,,,,,
KNN_k7,0.9287,0.8652,0.9249,0.894,0.9293,0.9277,0.07,75,1024,6.82,kmeans,15.0,0,0.62,twitter,,,,,,,,
LabelPropagation,0.9102,0.8951,0.8198,0.8558,0.9091,0.8868,0.07,75,1024,6.82,kmeans,15.0,0,0.62,twitter,,,,,,,,
LabelSpreading,0.9014,0.9085,0.7748,0.8363,0.8991,0.8686,0.07,75,1024,6.82,kmeans,15.0,0,0.62,twitter,,,,,,,,
RandomForest,0.8924,0.8511,0.8117,0.831,0.8917,0.8715,0.02,105,994,9.55,dbscan,21.0,89,0.7245,twitter,0.617,5.0,,,,,,
ClusterMajorityVote,0.9155,0.8593,0.8858,0.8723,0.9158,0.9078,0.02,105,994,9.55,dbscan,21.0,89,0.7245,twitter,0.617,5.0,,,,,,
KNN_k7,0.8753,0.7793,0.8611,0.8182,0.8767,0.8716,0.02,105,994,9.55,dbscan,21.0,89,0.7245,twitter,0.617,5.0,,,,,,
LabelPropagation,0.8592,0.8067,0.7469,0.7756,0.8577,0.8302,0.02,105,994,9.55,dbscan,21.0,89,0.7245,twitter,0.617,5.0,,,,,,
LabelSpreading,0.8511,0.8284,0.6852,0.75,0.8471,0.8083,0.02,105,994,9.55,dbscan,21.0,89,0.7245,twitter,0.617,5.0,,,,,,
RandomForest,0.874,0.8467,0.7409,0.7902,0.8716,0.8388,0.01,75,1024,6.82,hierarchical_ward,15.0,0,0.6061,twitter,,,ward,,,,,
ClusterMajorityVote,0.8203,0.7432,0.6707,0.7051,0.8177,0.7808,0.01,75,1024,6.82,hierarchical_ward,15.0,0,0.6061,twitter,,,ward,,,,,
KNN_k7,0.8818,0.7949,0.8506,0.8218,0.8828,0.8736,0.01,75,1024,6.82,hierarchical_ward,15.0,0,0.6061,twitter,,,ward,,,,,
LabelPropagation,0.8477,0.8874,0.6006,0.7164,0.8384,0.7823,0.01,75,1024,6.82,hierarchical_ward,15.0,0,0.6061,twitter,,,ward,,,,,
LabelSpreading,0.7998,0.8727,0.439,0.5842,0.7772,0.7044,0.01,75,1024,6.82,hierarchical_ward,15.0,0,0.6061,twitter,,,ward,,,,,
RandomForest,0.8538,0.869,0.6479,0.7424,0.8474,0.8005,0.01,59,1040,5.37,hierarchical_average,15.0,0,0.371,twitter,,,average,,,,,
ClusterMajorityVote,0.8183,0.7411,0.6775,0.7079,0.816,0.7818,0.01,59,1040,5.37,hierarchical_average,15.0,0,0.371,twitter,,,average,,,,,
KNN_k7,0.8058,0.7252,0.6479,0.6844,0.8027,0.7648,0.01,59,1040,5.37,hierarchical_average,15.0,0,0.371,twitter,,,average,,,,,
LabelPropagation,0.8471,0.8653,0.6272,0.7273,0.8397,0.7901,0.01,59,1040,5.37,hierarchical_average,15.0,0,0.371,twitter,,,average,,,,,
LabelSpreading,0.7327,0.7273,0.284,0.4085,0.6912,0.6164,0.01,59,1040,5.37,hierarchical_average,15.0,0,0.371,twitter,,,average,,,,,
RandomForest,0.9082,0.8217,0.9077,0.8626,0.9093,0.9081,0.22,75,1024,6.82,gmm,,0,0.5684,twitter,,,,15.0,-111551.28,-119424.67,True,
ClusterMajorityVote,0.8662,0.7541,0.8585,0.8029,0.8683,0.8641,0.22,75,1024,6.82,gmm,,0,0.5684,twitter,,,,15.0,-111551.28,-119424.67,True,
KNN_k7,0.8516,0.6918,0.96,0.8041,0.8563,0.8806,0.22,75,1024,6.82,gmm,,0,0.5684,twitter,,,,15.0,-111551.28,-119424.67,True,
LabelPropagation,0.874,0.8006,0.8031,0.8018,0.8741,0.855,0.22,75,1024,6.82,gmm,,0,0.5684,twitter,,,,15.0,-111551.28,-119424.67,True,
LabelSpreading,0.8662,0.7749,0.8154,0.7946,0.8671,0.8526,0.22,75,1024,6.82,gmm,,0,0.5684,twitter,,,,15.0,-111551.28,-119424.67,True,
RandomForest,0.8932,0.8411,0.8157,0.8282,0.8928,0.8723,0.03,50,1049,4.55,hdbscan,10.0,195,0.6474,twitter,,5.0,,,,,,50.0
ClusterMajorityVote,0.897,0.8832,0.7764,0.8264,0.8951,0.8645,0.03,50,1049,4.55,hdbscan,10.0,195,0.6474,twitter,,5.0,,,,,,50.0
KNN_k7,0.8236,0.6553,0.9305,0.769,0.8295,0.8524,0.03,50,1049,4.55,hdbscan,10.0,195,0.6474,twitter,,5.0,,,,,,50.0
LabelPropagation,0.8875,0.8424,0.7915,0.8162,0.8865,0.8616,0.03,50,1049,4.55,hdbscan,10.0,195,0.6474,twitter,,5.0,,,,,,50.0
LabelSpreading,0.8799,0.8571,0.7432,0.7961,0.8774,0.843,0.03,50,1049,4.55,hdbscan,10.0,195,0.6474,twitter,,5.0,,,,,,50.0
