row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,cluster,true_label
2489,listed_count,1,,,0.9521157625867203,0.9989430737836007,2,1,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,0,1
287,listed_count,1,,,0.9521157625867203,0.9991023126671973,2,1,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,0,1
1972,listed_count,1,,,0.9521157625867203,0.9998862579402882,2,1,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,0,1
1448,followers_count,1,,,0.9509927675808356,0.9999984914743721,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,0,1
4628,listed_count,1,,,0.9521157625867203,0.9998267620936696,2,1,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,0,0
4585,friends_count,0,,,0.9484261507882511,0.9945046184811184,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,1,0
327,friends_count,0,,,0.9484261507882511,0.9932022782570206,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,1,0
2234,friends_count,0,,,0.9484261507882511,0.7395892644595848,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,1,0
3428,friends_count,0,,,0.9484261507882511,0.9929641029960128,2,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,1,0
3343,friends_count,0,,,0.9484261507882511,0.9984195257514582,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,1,0
1994,statuses_count,1,,,0.9188582406082514,0.9903105607472451,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,2,1
3458,statuses_count,1,,,0.9188582406082514,0.9980469971760966,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,2,1
1767,statuses_count,1,,,0.9188582406082514,0.9918807470117182,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,2,1
1268,statuses_count,1,,,0.9188582406082514,0.9914563333866587,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,2,1
201,statuses_count,1,,,0.9188582406082514,0.993732640136493,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,2,1
2960,verified,1,,,0.4153523578281736,0.9536175578960271,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,3,0
1880,verified,1,,,0.4153523578281736,0.9072351157920542,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,3,0
2550,verified,1,,,0.4153523578281736,0.6753229052721899,2,1,1.0,1.0,0.17443617574011616,0.8,0,0,3,0
2340,verified,1,,,0.4153523578281736,0.9536175578960271,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,3,0
3554,verified,1,,,0.4153523578281736,0.9072351157920542,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,3,0
4662,followers_count,0,,,0.0,0.0,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,4,0
4040,description_length,0,,,0.5215172556875292,0.7398031944732967,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,4,0
3399,description_length,0,,,0.3830782034083494,0.27778479013176316,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,4,0
642,statuses_count,0,,,0.6084904469543311,0.6077470844539226,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,4,0
1986,description_length,0,,,0.49142180953988135,0.3304648547254051,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,4,0
2518,statuses_count,0,,,0.9188349053998566,0.9690614616969556,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,5,0
431,statuses_count,0,,,0.9188349053998566,0.7897836688383995,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,5,0
1931,friends_count,0,,,0.9484261507882511,0.9740168140756207,2,1,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,5,0
2697,statuses_count,0,,,0.9188349053998566,0.9938063616686479,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,5,0
3531,friends_count,1,,,0.9487026977345987,0.9992702267940865,2,1,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,5,1
466,statuses_count,0,,,0.9188349053998566,0.8775839543742547,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,6,0
2796,statuses_count,0,,,0.9188349053998566,0.999077039365591,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,6,0
3077,statuses_count,0,,,0.9188349053998566,0.9612391540979683,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,6,0
4356,statuses_count,0,,,0.9188349053998566,0.999919276981551,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,6,0
1108,statuses_count,0,,,0.9188349053998566,0.9942270686244931,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,6,0
3950,name_length,1,,,0.8367903204322379,0.65313362567864,1,0,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,7,0
3884,description_length,1,,,0.6839629660145702,0.7223618217362127,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,7,1
3275,description_length,1,,,0.8825929105890453,0.8576214470442116,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,7,1
4253,description_length,1,,,0.5214475568172723,0.9505234528478635,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,7,0
4105,name_length,1,,,0.5696797464158561,0.14742190236899355,1,0,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,7,0
1552,protected,1,,,0.9931143290278304,1.0,1,0,0.0,1.0,0.4989531304430075,0.8,0,0,8,0
1194,protected,1,,,0.9931143290278304,1.0,2,0,0.0,1.0,0.4989531304430075,0.8,0,0,8,0
1923,protected,1,,,0.9931143290278304,1.0,2,0,0.0,1.0,0.4989531304430075,0.8,0,0,8,0
2847,protected,1,,,0.9931143290278304,1.0,1,0,0.0,1.0,0.4989531304430075,0.8,0,0,8,0
424,protected,1,,,0.9931143290278304,1.0,1,0,0.0,1.0,0.4989531304430075,0.8,0,0,8,0
3386,followers_count,0,,,0.9509922096633139,0.9999877499982989,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,9,0
2932,followers_count,0,,,0.9509922096633139,0.9996732958971636,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,9,0
4012,followers_count,0,,,0.9509922096633139,0.9997733691665074,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,9,0
761,followers_count,0,,,0.9509922096633139,0.9999893900364174,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,9,0
1889,followers_count,0,,,0.9509922096633139,0.9999336828925904,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,9,0
2469,description_length,1,,,0.5876575383420974,0.9149288146089165,2,1,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,10,1
2994,name_length,1,,,0.7828330537820646,0.8281876837473636,3,1,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,10,1
1645,name_length,1,,,0.731551546366376,0.6661005929429902,3,1,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,10,1
2697,description_length,1,,,0.5876575383420974,0.975083753232737,2,1,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,10,1
1190,name_length,1,,,0.7288757871318914,0.7050014947360397,2,1,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,10,1
597,verified,1,,,0.8099520068218187,0.9536175578960271,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,11,0
3656,verified,1,,,0.8099520068218187,1.0,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,11,0
894,verified,1,,,0.8099520068218187,1.0,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,11,0
206,verified,1,,,0.8099520068218187,1.0,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,11,0
4555,verified,1,,,0.8099520068218187,1.0,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,11,0
