row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,cluster,true_label
3821,followers_count,0,,,0.9509922096633139,0.9999325843764922,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,0,0
2015,followers_count,0,,,0.9509922096633139,0.9912819016153531,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,0,0
3229,followers_count,0,,,0.9509922096633139,0.9871978856550974,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,0,0
396,followers_count,0,,,0.9509922096633139,0.9989875124107083,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,0,0
4448,listed_count,0,,,0.8572626347809711,0.956239054934251,1,0,0.5343905056730891,1.0,0.29763341977485813,1.0,0,0,0,0
1665,name_length,1,,,0.947380612967069,0.7990120074025764,2,1,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,1,1
1730,friends_count,1,,,0.9487026977345987,0.9909083297718617,2,1,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,1,1
1998,statuses_count,1,,,0.9188582406082514,0.9997827479988172,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,1,1
3668,statuses_count,1,,,0.9188582406082514,0.9885708973292425,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,1,1
3569,statuses_count,1,,,0.9188582406082514,0.9979697749007946,2,1,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,1,1
161,name_length,1,,,0.7828330537820646,0.591540531172978,1,0,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,2,0
2831,name_length,1,,,0.731551546366376,0.6985180111038648,1,0,0.05488506488971768,1.0,0.5154488871919416,1.0,0,0,2,0
4645,description_length,1,,,0.6780135756552974,0.6533082235526553,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,2,0
3712,description_length,1,,,0.5876575383420974,0.9626256298491056,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,2,1
1797,description_length,1,,,0.5696699695237655,0.561474056896172,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,2,0
2452,verified,1,,,0.8099520068218187,1.0,2,0,1.0,1.0,0.17443617574011616,0.8,0,0,3,0
1072,verified,1,,,0.8099520068218187,1.0,2,0,1.0,1.0,0.17443617574011616,0.8,0,0,3,0
2185,verified,1,,,0.8099520068218187,1.0,2,1,1.0,1.0,0.17443617574011616,0.8,0,0,3,0
2107,verified,1,,,0.8099520068218187,0.9536175578960271,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,3,0
3651,verified,1,,,0.4153523578281736,0.8144702315841086,1,0,1.0,1.0,0.17443617574011616,0.8,0,0,3,0
632,friends_count,0,,,0.9484261507882511,0.994434690645105,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,4,0
3711,friends_count,0,,,0.9484261507882511,0.750554790383599,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,4,0
3676,friends_count,0,,,0.9484261507882511,0.9875055256013486,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,4,0
1256,friends_count,0,,,0.9484261507882511,0.9765657625642867,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,4,0
2931,friends_count,0,,,0.9484261507882511,0.8800353797933227,1,0,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,4,0
4722,description_length,0,,,0.43123091724458573,0.5582705394546666,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,5,0
4330,description_length,0,,,0.4973711998991541,0.8540619832203169,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,5,0
1265,description_length,0,,,0.3529827572607016,0.44792716091393037,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,5,0
4576,description_length,0,,,0.4973711998991541,0.7469221221210862,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,5,0
2759,description_length,0,,,0.43123091724458573,0.7002931460280655,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,5,0
320,followers_count,0,,,0.9509922096633139,0.9999270685879145,3,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,6,0
4628,followers_count,0,,,0.9509922096633139,0.9999912930995172,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,6,0
1645,friends_count,0,,,0.9484261507882511,0.9970262267632228,3,1,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,6,0
3979,friends_count,0,,,0.9484261507882511,0.9865486183716926,3,1,0.08200057385972465,1.0,0.5579620350082458,1.0,0,0,6,0
2185,followers_count,0,,,0.9509922096633139,0.9999804742631553,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,6,0
748,description_length,1,,,0.7622808248687111,0.9490996673183056,1,0,0.06787413775226048,1.0,0.4969483926610518,1.0,0,0,7,0
1511,statuses_count,1,,,0.9188582406082514,0.9974654619615559,1,0,0.07545764109244776,1.0,0.4110671525949188,1.0,0,0,7,1
