feature,importance
h3_distribution_score,0.17169769991646255
h1_plausible,0.14160078874793314
h4_coherence_score,0.1164191446992588
h2_min_edit_distance,0.08860849751393844
h2_is_obfuscation,0.07145978306773922
cell_signal_ratio,0.06501019719887507
h7_gain_direction,0.0648314194064265
row_signal_sum,0.051716263748565756
cell_signal_sum,0.04403535458172147
h5_error_count,0.03898359506064842
h6_column_importance,0.022830546867861592
signal_C3,0.020072371802406078
h7_comprehensibility,0.012597478181998297
signal_C9,0.011426184957077723
h8_is_sensitive,0.011218501479044084
signal_C24,0.011172754903108737
n_applicable,0.010951586307270993
signal_C27,0.010500252941842475
h5_codependent_flag,0.00786505569378111
signal_C23,0.006663734164228807
h7_mutability,0.003914916714804959
signal_C17,0.003729184021943948
signal_C20,0.0034126476244414785
signal_C1,0.0026145483939794562
signal_C11,0.001986582222525784
h8_is_majority_value,0.001641904626563767
signal_C21,0.0012471352499450934
signal_C6,0.0006815359753204168
signal_C30,0.00040957610008162597
signal_C4,0.0003044806654356251
signal_C10,0.00029175709889299646
signal_C5,0.00010452006587567608
signal_C16,0.0
signal_C15,0.0
signal_C14,0.0
signal_C13,0.0
signal_C12,0.0
signal_C2,0.0
signal_C7,0.0
signal_C8,0.0
signal_C31,0.0
signal_C29,0.0
signal_C26,0.0
signal_C28,0.0
signal_C25,0.0
signal_C18,0.0
signal_C19,0.0
signal_C22,0.0
