row_idx,column_name,signal_C1,signal_C2,signal_C3,signal_C4,signal_C5,signal_C6,signal_C7,signal_C8,signal_C9,signal_C10,signal_C11,signal_C12,signal_C13,signal_C14,signal_C15,signal_C16,signal_C17,signal_C18,signal_C19,signal_C20,signal_C21,signal_C22,signal_C23,signal_C24,signal_C25,signal_C26,signal_C27,signal_C28,signal_C29,signal_C30,signal_C31,n_applicable,cell_signal_sum,cell_signal_ratio,row_signal_sum,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,intent_label,predicted_intent
0,workclass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,-2,0,1.0,0.0,0.0,0.0,2,0,0.07999917104733442,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,49.0,-1,-1.0
0,hours-per-week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,-1,-0.5,-2,0,,,0.0,0.0,2,0,0.4157457150632492,1.0,0.6336143496260792,0.3,0,0,340.0,8.292682926829269,1.0,40.0,380.0,3.713572066704308,5.942799375126701,12.0,96.0,90.0,-1,-1.0
1,education,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,0,0.0,1,0,1.0,0.0,0.0,0.0,2,1,0.593571220643098,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,92.0,153.0,-1,-1.0
1,education-num,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.3333333333333333,1,0,,,0.0,0.0,2,1,0.608014114587254,0.0,0.6629739090953851,0.3,0,0,8.0,0.8,-1.0,9.0,1.0,2.302585092994046,0.6931471805599453,4.0,56.0,1.0,-1,-1.0
2,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,,,0.17728345817110036,0.0,2,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,44.0,1.5172413793103448,1.0,28.0,72.0,3.367295829986474,4.290459441148391,0.0,78.0,214.0,-1,-1.0
2,sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,0,0,2.0,0.0,0.0,0.0,2,0,0.2680057898837924,0.5,0.5,0.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,11.0,-1,-1.0
3,workclass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,1,0,1.0,0.0,0.0,0.0,2,0,0.07999917104733442,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,8.0,-1,-1.0
3,occupation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,1,0,1.0,0.0,0.0,0.0,2,0,0.5478141931009376,1.0,0.5,0.8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,77.0,44.0,-1,-1.0
4,hours-per-week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,3,0,,,0.013726743464093194,0.0,1,0,0.4157457150632492,1.0,0.6336143496260792,0.3,0,0,26.0,0.8387096774193549,-1.0,30.0,4.0,3.4339872044851463,1.6094379124341003,12.0,61.0,95.0,-1,-1.0
5,age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4,1,,,0.8653320498944148,0.6314025401482244,2,0,0.7124705367126459,1.0,0.6358503461290571,0.0,1,0,10.0,0.2857142857142857,1.0,34.0,44.0,3.5553480614894135,3.8066624897703196,0.0,105.0,135.0,-1,1.0
