feature,importance
row_signal_sum,0.5229534442365262
n_applicable,0.12319435303081135
cell_signal_ratio,0.07831867505652168
signal_C27,0.06567552661577798
signal_C9,0.05073099743351941
cell_signal_sum,0.046826141135211094
signal_C23,0.031889415895848976
signal_C24,0.022584537375627867
signal_C17,0.02178269804883317
signal_C1,0.013319249656601546
signal_C3,0.010419243561354704
signal_C11,0.00660549626358313
signal_C20,0.005700221689782873
signal_C2,0.0
signal_C4,0.0
signal_C7,0.0
signal_C6,0.0
signal_C8,0.0
signal_C5,0.0
signal_C19,0.0
signal_C18,0.0
signal_C16,0.0
signal_C15,0.0
signal_C13,0.0
signal_C14,0.0
signal_C12,0.0
signal_C10,0.0
signal_C26,0.0
signal_C25,0.0
signal_C21,0.0
signal_C22,0.0
signal_C31,0.0
signal_C30,0.0
signal_C29,0.0
signal_C28,0.0
