feature,importance
h7_gain_direction,0.15831694123708848
h6_column_importance,0.1269498288003595
h3_distribution_score,0.11620543547179388
h5_error_count,0.11302687149057798
h1_plausible,0.07293633676367356
cell_signal_ratio,0.06109562888855209
h4_coherence_score,0.05627140914558068
h2_is_obfuscation,0.0554159608452978
cell_signal_sum,0.040378359637947635
row_signal_sum,0.03209228327342879
h5_codependent_flag,0.03090637992835763
h2_min_edit_distance,0.019065400519294
h7_comprehensibility,0.01905895019339771
h8_is_sensitive,0.010723108805347072
signal_C1,0.010581045634134947
h7_mutability,0.009310756475473216
signal_C8,0.009017338105940388
signal_C16,0.0087653968494414
signal_C18,0.008497135210815195
n_applicable,0.007779120184560506
h8_is_majority_value,0.007139084171859389
signal_C9,0.006986806845326609
signal_C15,0.005169678117905633
signal_C14,0.002917435445472948
signal_C27,0.002559208277745891
signal_C3,0.0023024604199960714
signal_C5,0.0017025025096736787
signal_C25,0.001661117692268462
signal_C28,0.0014582048493830464
signal_C12,0.0009557473835931612
signal_C17,0.00046263374208421423
signal_C26,0.00018872958984703783
signal_C19,7.709733464702919e-05
signal_C29,2.1340426723391285e-05
signal_C30,4.265732410968263e-06
signal_C10,0.0
signal_C4,0.0
signal_C2,0.0
signal_C6,0.0
signal_C7,0.0
signal_C13,0.0
signal_C11,0.0
signal_C31,0.0
signal_C22,0.0
signal_C21,0.0
signal_C24,0.0
signal_C23,0.0
signal_C20,0.0
