feature,importance
cell_signal_ratio,0.1868389097814836
cell_signal_sum,0.16148537827633397
row_signal_sum,0.15458801688848672
signal_C15,0.07026331642209177
n_applicable,0.06956971458959874
signal_C16,0.059975892627766786
signal_C14,0.05277287787678537
signal_C9,0.04686005042570157
signal_C8,0.04660947850606959
signal_C27,0.03676612931927479
signal_C1,0.033910986306048684
signal_C5,0.024606700290330293
signal_C25,0.013620898251864005
signal_C3,0.012105425314023636
signal_C18,0.010152088033887924
signal_C19,0.005517674863144335
signal_C28,0.005448773044703225
signal_C29,0.0036224408075566142
signal_C4,0.0029737180094185083
signal_C26,0.0023115303654299263
signal_C2,0.0
signal_C13,0.0
signal_C12,0.0
signal_C7,0.0
signal_C6,0.0
signal_C10,0.0
signal_C11,0.0
signal_C17,0.0
signal_C24,0.0
signal_C22,0.0
signal_C23,0.0
signal_C20,0.0
signal_C21,0.0
signal_C31,0.0
signal_C30,0.0
