feature,importance
h5_error_count,0.18703759936762734
stat_new_magnitude,0.10185789213872128
stat_new_log,0.08995898221314778
stat_change_magnitude,0.07764885432109753
h3_distribution_score,0.07116001717057988
h4_coherence_score,0.06311011502062369
stat_relative_change,0.05409220990652315
stat_new_value_encoded,0.053929870832080895
h5_codependent_flag,0.04242744726916174
stat_original_value_encoded,0.031031060573120908
h6_column_importance,0.025511406584480017
stat_feature_name_encoded,0.02490293869119278
stat_original_magnitude,0.023643363576039567
row_signal_sum,0.02233939422087487
h1_plausible,0.022298147468849273
stat_original_log,0.019179210465122856
stat_change_direction,0.018496111578885782
h8_is_majority_value,0.011905269138144603
h8_is_sensitive,0.01088539967099225
n_applicable,0.01080550698855338
signal_C8,0.009523563082141525
h7_comprehensibility,0.007462632808986845
cell_signal_ratio,0.005523343996707045
signal_C2,0.005333311353709905
cell_signal_sum,0.0038979414957367145
signal_C1,0.003075156436966142
signal_C3,0.0020844443749597195
signal_C6,0.000878809254972577
signal_C26,0.0
signal_C23,0.0
signal_C22,0.0
signal_C25,0.0
signal_C24,0.0
signal_C19,0.0
signal_C18,0.0
signal_C17,0.0
signal_C16,0.0
signal_C15,0.0
signal_C14,0.0
signal_C13,0.0
signal_C12,0.0
signal_C11,0.0
signal_C10,0.0
signal_C9,0.0
signal_C7,0.0
signal_C5,0.0
signal_C4,0.0
signal_C21,0.0
signal_C20,0.0
signal_C31,0.0
h2_min_edit_distance,0.0
h2_is_obfuscation,0.0
signal_C28,0.0
signal_C27,0.0
signal_C30,0.0
signal_C29,0.0
h7_mutability,0.0
h7_gain_direction,0.0
