feature,importance
h5_error_count,0.5603874961914463
h2_min_edit_distance,0.10363196331728847
h7_comprehensibility,0.09383893950827918
row_signal_sum,0.07703164837055511
h6_column_importance,0.06684116984478347
n_applicable,0.039955967482967765
h4_coherence_score,0.029821268441738324
h5_codependent_flag,0.014203359228604252
cell_signal_ratio,0.00519657659069812
signal_C3,0.004998747567898445
cell_signal_sum,0.002557654996551783
h3_distribution_score,0.0007936485127549952
h1_plausible,0.0007415599464337112
signal_C4,0.0
signal_C1,0.0
signal_C14,0.0
signal_C13,0.0
signal_C12,0.0
signal_C11,0.0
signal_C9,0.0
signal_C10,0.0
signal_C8,0.0
signal_C7,0.0
signal_C2,0.0
signal_C6,0.0
signal_C5,0.0
h2_is_obfuscation,0.0
h7_mutability,0.0
h7_gain_direction,0.0
h8_is_sensitive,0.0
h8_is_majority_value,0.0
