feature,importance
signal_C1,0.0
signal_C2,0.0
signal_C3,0.0
signal_C4,0.0
signal_C5,0.0
signal_C6,0.0
signal_C7,0.0
signal_C8,0.0
signal_C9,0.0
n_applicable,0.0
cell_signal_sum,0.0
cell_signal_ratio,0.0
row_signal_sum,0.0
h1_plausible,0.0
h2_min_edit_distance,0.0
h2_is_obfuscation,0.0
h3_distribution_score,0.0
h4_coherence_score,0.0
h5_error_count,0.0
h5_codependent_flag,0.0
h6_column_importance,0.0
h7_mutability,0.0
h7_gain_direction,0.0
h7_comprehensibility,0.0
h8_is_sensitive,0.0
h8_is_majority_value,0.0
