row_idx,column_name,signal_C1,signal_C2,signal_C3,signal_C4,signal_C5,signal_C6,signal_C7,signal_C8,signal_C9,n_applicable,cell_signal_sum,cell_signal_ratio,row_signal_sum,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,intent_label,predicted_intent
0,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,0,,,0.0,0.8277620927245135,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
0,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,0,,,0.0,0.5847183341202472,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
0,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,0,,,0.0,0.34318110403122215,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
0,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,0,,,0.0,0.9998691205561968,5,0,0.0,1.0,0.5,0.8,0,0,1,1.0
0,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,0,,,0.0,1.0,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
1,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,0,,,0.0,0.6557484535574585,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
1,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,0,,,0.0,0.3904736839506854,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
1,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,0,,,0.0,0.7816421385117085,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
1,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,0,,,0.0,0.9995716467701923,5,0,0.0,1.0,0.5,0.8,0,0,1,1.0
1,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,0,,,0.0,1.0,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
2,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,0,,,0.0,0.8608416387181779,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
2,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,0,,,0.0,0.5311336030389886,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
2,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,0,,,0.0,0.21053742973460465,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
2,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,0,,,0.0,0.9373948130758643,5,0,0.0,1.0,0.5,0.8,0,0,1,1.0
2,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,0,,,0.0,1.0,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
3,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,0,,,0.0,0.8941454528202739,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
3,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,0,,,0.0,0.953113360303899,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
3,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,0,,,0.0,0.632708890178664,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
3,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,0,,,0.0,0.999665347562985,5,0,0.0,1.0,0.5,0.8,0,0,1,1.0
3,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,0,,,0.0,1.0,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
4,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,0,,,0.0,0.4666904381496002,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
4,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,0,,,0.0,0.9598114516890561,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
4,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,0,,,0.0,1.0,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
4,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,0,,,0.0,0.9979277674370403,5,0,0.0,1.0,0.5,0.8,0,0,1,1.0
4,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,0,,,0.0,1.0,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
5,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,0,,,0.0,0.9902443372832244,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
5,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,0,,,0.0,0.7789629842898089,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
5,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,0,,,0.0,0.7851327615195142,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
5,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,0,,,0.0,0.9999991636649846,5,0,0.0,1.0,0.5,0.8,0,0,1,1.0
5,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,0,,,0.0,1.0,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
6,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,0,,,0.0,0.7808153020261606,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
6,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,0,,,0.0,1.0,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
6,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,0,,,0.0,0.19308431469557596,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
6,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,0,,,0.0,0.9994918582806376,5,0,0.0,1.0,0.5,0.8,0,0,1,1.0
6,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,0,,,0.0,1.0,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
7,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,0,,,0.0,0.0998999468096805,5,0,0.0,1.0,0.5,1.0,0,0,1,1.0
