row_idx,column_name,signal_C1,signal_C2,signal_C3,signal_C4,signal_C5,signal_C6,signal_C7,signal_C8,signal_C9,n_applicable,cell_signal_sum,cell_signal_ratio,row_signal_sum,intent_label,predicted_intent
0,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
0,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
0,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
0,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
0,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
1,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
1,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
1,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
1,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
1,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
2,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
2,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
2,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,
2,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
2,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
3,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
3,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
3,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
3,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
3,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
4,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
4,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
4,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
4,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
4,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
5,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
5,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
5,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
5,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
5,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
6,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
6,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
6,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
6,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
6,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
7,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
7,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
7,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
7,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
7,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
8,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
8,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
8,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
8,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
8,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
9,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
9,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
9,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
9,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
9,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
10,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
10,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
10,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
10,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
10,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
11,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
11,subject_type,0,0,0,0,0,0,0,-1,0,4,-1,-0.25,-3,1,1.0
11,subject_location,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,1,1.0
11,value,0,0,0,0,0,0,0,0,0,3,0,0.0,-3,1,1.0
11,claim_domain,0,0,0,0,0,0,0,0,-1,5,-1,-0.2,-3,1,1.0
12,subject_entity,0,0,0,0,-1,0,0,0,0,1,-1,-1.0,-3,1,1.0
