row_idx,column_name,signal_C1,signal_C2,signal_C3,signal_C4,signal_C5,signal_C6,signal_C7,signal_C8,signal_C9,signal_C10,signal_C11,signal_C12,signal_C13,signal_C14,signal_C15,signal_C16,signal_C17,signal_C18,signal_C19,signal_C20,signal_C21,signal_C22,signal_C23,signal_C24,signal_C25,n_applicable,cell_signal_sum,cell_signal_ratio,row_signal_sum,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,intent_label,predicted_intent
7,followers_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4,1,,,0.9511932271404225,0.9998467229865965,3,1,1.0,1.0,0.5,1.0,0,0,45.0,0.09513742071881606,-1.0,472.0,427.0,6.159095388491933,6.059123195581797,0.0,2302.0,2154.0,-1,-1.0
7,statuses_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4,1,,,0.9729175969308951,0.6930129163471619,3,1,0.3516346101696187,1.0,0.5,1.0,0,0,27522.0,8.99705786204642,1.0,3058.0,30580.0,8.025843344150903,10.328134180060221,3.0,1745.0,1746.0,-1,-1.0
7,geo_enabled,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,4,0,,,1.0,1.0,3,0,0.019997429269484647,1.0,0.5,0.3,0,0,1.0,1.0,1.0,0.0,1.0,0.0,0.6931471805599453,9.0,0.0,1.0,-1,1.0
17,friends_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.9568647713097269,0.8293264826945055,2,1,0.25690440440238577,1.0,0.5,1.0,0,0,8318.0,0.8999242670128746,-1.0,9242.0,924.0,9.131621787264777,6.829793737512425,1.0,2500.0,2499.0,-1,-1.0
17,description_length,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.3333333333333333,3,1,,,0.9136516837540829,0.7694767807516278,2,1,0.16492294307018104,1.0,0.5,1.0,0,0,1.0,0.014492753623188406,1.0,68.0,69.0,4.23410650459726,4.248495242049359,12.0,147.0,148.0,-1,1.0
25,followers_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.9520060454391867,0.9987955453271479,3,1,1.0,1.0,0.5,1.0,0,0,12000.0,9.20951650038373,1.0,1302.0,13302.0,7.172424577124845,9.495744852683906,0.0,382.0,424.0,-1,-1.0
25,friends_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.950393857037776,0.6922072045135226,3,1,0.25690440440238577,1.0,0.5,1.0,0,0,1584.0,0.9,-1.0,1759.0,175.0,7.473069088032197,5.170483995038151,1.0,629.0,627.0,-1,-1.0
25,listed_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.9522056891128385,0.9857200107400307,3,1,0.9927021259898942,1.0,0.5,1.0,0,0,0.0,0.0,0.0,10.0,10.0,2.3978952727983707,2.3978952727983707,4.0,2.0,2.0,-1,1.0
26,friends_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.952337723140832,0.9895093434150273,3,1,0.25690440440238577,1.0,0.5,1.0,0,0,360.0,8.78048780487805,1.0,40.0,400.0,3.713572066704308,5.993961427306569,1.0,1561.0,1562.0,-1,-1.0
26,favourites_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,0,,,1.0,1.0,3,0,0.020488126442631267,1.0,0.5,1.0,0,0,250.0,250.0,1.0,0.0,250.0,0.0,5.5254529391317835,2.0,0.0,21.0,1,1.0
26,listed_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.952060761685607,0.9996626089494052,3,1,0.9927021259898942,1.0,0.5,1.0,0,0,5.0,5.0,1.0,0.0,5.0,0.0,1.791759469228055,4.0,0.0,877.0,1,1.0
52,favourites_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4,0,,,1.0,1.0,3,0,0.020488126442631267,1.0,0.5,1.0,0,0,1234.0,1234.0,1.0,0.0,1234.0,0.0,7.118826249062078,2.0,0.0,4.0,1,1.0
52,statuses_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4,1,,,0.9230813266181342,0.947748602829926,3,0,0.3516346101696187,1.0,0.5,1.0,0,0,3420.0,0.8992900341835394,-1.0,3802.0,382.0,8.24354550792826,5.948034989180646,3.0,2102.0,2111.0,-1,-1.0
52,screen_name_length,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4,0,,,1.0,1.0,3,0,0.019997429269484647,1.0,0.5,1.0,0,0,10.0,10.0,1.0,0.0,10.0,0.0,2.3978952727983707,13.0,0.0,2.0,1,1.0
58,favourites_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,5,0,,,1.0,1.0,3,0,0.020488126442631267,1.0,0.5,1.0,0,0,850.0,850.0,1.0,0.0,850.0,0.0,6.7464121285733745,2.0,0.0,50.0,1,1.0
58,profile_use_background_image,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,5,0,,,1.0,1.0,3,0,0.019997429269484647,1.0,0.5,0.3,1,0,1.0,1.0,1.0,0.0,1.0,0.0,0.6931471805599453,10.0,0.0,1.0,1,1.0
58,screen_name_length,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,5,0,,,1.0,1.0,3,0,0.019997429269484647,1.0,0.5,1.0,0,0,11.0,11.0,1.0,0.0,11.0,0.0,2.4849066497880004,13.0,0.0,3.0,1,1.0
65,friends_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.9657806371690771,0.9817416544672155,3,1,0.25690440440238577,1.0,0.5,1.0,0,0,9.0,0.004577822990844354,-1.0,1965.0,1956.0,7.583756300707112,7.579167967396076,1.0,748.0,741.0,-1,-1.0
65,description_length,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.3333333333333333,3,1,,,0.7201525773357424,0.0,3,1,0.16492294307018104,1.0,0.5,1.0,0,0,119.0,9.916666666666666,1.0,11.0,130.0,2.4849066497880004,4.875197323201151,12.0,14.0,37.0,1,1.0
65,name_length,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.8890615593737681,0.7094149785365447,3,1,0.02771760198021504,1.0,0.5,1.0,0,0,8.0,1.6,1.0,4.0,12.0,1.6094379124341003,2.5649493574615367,14.0,37.0,4.0,1,1.0
75,friends_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.9628060419070962,0.7612014920646574,2,1,0.25690440440238577,1.0,0.5,1.0,0,0,9200.0,8.993157380254154,1.0,1022.0,10222.0,6.930494765951626,9.232395362757014,1.0,24.0,25.0,-1,-1.0
75,statuses_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.9228023648593248,0.9112194903863542,2,1,0.3516346101696187,1.0,0.5,1.0,0,0,1.0,0.0033003300330033004,-1.0,302.0,301.0,5.713732805509369,5.71042701737487,3.0,1724.0,1719.0,-1,-1.0
76,followers_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,1,,,0.951203770103987,0.8533057428433535,3,1,1.0,1.0,0.5,1.0,0,0,5355.0,0.9,-1.0,5949.0,594.0,8.691146498539675,6.38856140554563,0.0,2636.0,2633.0,-1,-1.0
76,listed_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,1,,,0.9716259643618529,0.9413252615207838,3,1,0.9927021259898942,1.0,0.5,1.0,0,0,612.0,8.869565217391305,1.0,68.0,680.0,4.23410650459726,6.523562306149512,4.0,1059.0,1060.0,-1,-1.0
76,has_description,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,3,-1,-0.3333333333333333,1,0,,,1.0,1.0,3,0,0.01999866158985743,1.0,0.5,0.3,0,0,1.0,0.5,-1.0,1.0,0.0,0.6931471805599453,0.0,15.0,1.0,0.0,-1,1.0
89,friends_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,0,,,0.9055872632380296,0.9335462158544859,2,1,0.25690440440238577,1.0,0.5,1.0,0,0,1.0,5.936479667557139e-05,1.0,16844.0,16845.0,9.731809155840653,9.73186851887531,1.0,577.0,578.0,-1,-1.0
89,statuses_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.9899067124396254,0.7383010147406717,2,1,0.3516346101696187,1.0,0.5,1.0,0,0,231000.0,0.9000654593061314,-1.0,256647.0,25647.0,12.455460775244273,10.152220874849334,3.0,1482.0,1480.0,-1,-1.0
114,followers_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.9521335079747365,0.9998540714953326,2,1,1.0,1.0,0.5,1.0,0,0,90.0,0.005908613445378151,1.0,15231.0,15321.0,9.631153757031147,9.637044983076766,0.0,623.0,632.0,-1,-1.0
114,statuses_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.9301862415369484,0.5545600626832207,2,1,0.3516346101696187,1.0,0.5,1.0,0,0,22014.0,0.9,-1.0,24459.0,2445.0,10.104794409241164,7.802209316247118,3.0,1400.0,1399.0,-1,-1.0
145,followers_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.956851515735633,0.9913822598654176,3,1,1.0,1.0,0.5,1.0,0,0,1.0,1.1104448442045883e-05,1.0,90053.0,90054.0,11.408164769384369,11.408175873771158,0.0,3261.0,3262.0,-1,-1.0
145,friends_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,1,,,0.9623248752080886,0.3591560720660826,3,1,0.25690440440238577,1.0,0.5,1.0,0,0,1400.0,8.9171974522293,1.0,156.0,1556.0,5.056245805348308,7.350516171833998,1.0,499.0,493.0,-1,-1.0
