feature,importance
h4_coherence_score,0.17945706125241967
h1_plausible,0.17841353308621605
h5_codependent_flag,0.1722223042923353
h5_error_count,0.1672257084352638
h3_distribution_score,0.1633589769314313
h6_column_importance,0.09314101226436143
cell_signal_ratio,0.017941014780007716
n_applicable,0.015128670137840755
cell_signal_sum,0.009157074302224096
signal_C6,0.003954644517899914
signal_C10,0.0
signal_C9,0.0
signal_C8,0.0
signal_C7,0.0
signal_C5,0.0
signal_C4,0.0
signal_C3,0.0
signal_C2,0.0
signal_C1,0.0
signal_C11,0.0
signal_C13,0.0
signal_C12,0.0
signal_C15,0.0
signal_C16,0.0
signal_C17,0.0
signal_C14,0.0
signal_C25,0.0
signal_C24,0.0
signal_C23,0.0
signal_C22,0.0
signal_C20,0.0
signal_C21,0.0
signal_C19,0.0
signal_C18,0.0
h2_min_edit_distance,0.0
h2_is_obfuscation,0.0
row_signal_sum,0.0
h7_mutability,0.0
h7_gain_direction,0.0
h7_comprehensibility,0.0
h8_is_sensitive,0.0
h8_is_majority_value,0.0
