feature,importance
stat_new_magnitude,0.1679956522334371
stat_new_log,0.12502329487246655
stat_new_value_encoded,0.11951064214464963
h3_distribution_score,0.11422414484275915
stat_original_magnitude,0.07221437735523165
stat_relative_change,0.052063772832232916
stat_original_log,0.05184708551543961
stat_original_value_encoded,0.0436098267153287
h6_column_importance,0.04296812444426853
h4_coherence_score,0.04145088902728159
h5_codependent_flag,0.0399629509227692
h1_plausible,0.03773309258675458
h5_error_count,0.03655177364534859
stat_change_magnitude,0.020137587345372694
stat_feature_name_encoded,0.01960285682700219
stat_change_direction,0.011551357070973826
h7_comprehensibility,0.0035525716186836785
signal_C1,0.0
signal_C3,0.0
signal_C2,0.0
signal_C20,0.0
signal_C19,0.0
signal_C18,0.0
signal_C17,0.0
signal_C16,0.0
signal_C15,0.0
signal_C14,0.0
signal_C13,0.0
signal_C12,0.0
signal_C11,0.0
signal_C10,0.0
signal_C9,0.0
signal_C8,0.0
signal_C7,0.0
signal_C6,0.0
signal_C5,0.0
signal_C4,0.0
h2_min_edit_distance,0.0
h2_is_obfuscation,0.0
row_signal_sum,0.0
signal_C25,0.0
n_applicable,0.0
cell_signal_sum,0.0
cell_signal_ratio,0.0
signal_C22,0.0
signal_C23,0.0
signal_C21,0.0
signal_C24,0.0
h8_is_sensitive,0.0
h8_is_majority_value,0.0
h7_mutability,0.0
h7_gain_direction,0.0
