feature,importance
h4_coherence_score,0.2780337215637648
h5_error_count,0.212327154041148
h5_codependent_flag,0.16217922008621802
h3_distribution_score,0.10100005297847263
h6_column_importance,0.09473626312588919
row_signal_sum,0.04475187529706225
h1_plausible,0.042806118107059934
h7_comprehensibility,0.019031108551175402
n_applicable,0.018395773264774654
signal_C15,0.008910029927519126
cell_signal_ratio,0.007786478571758096
cell_signal_sum,0.006712748111336778
h7_mutability,0.0033294563738211994
signal_C9,0.0
signal_C10,0.0
signal_C5,0.0
signal_C4,0.0
signal_C3,0.0
signal_C2,0.0
signal_C1,0.0
signal_C8,0.0
signal_C7,0.0
signal_C6,0.0
signal_C14,0.0
signal_C13,0.0
signal_C11,0.0
signal_C25,0.0
signal_C24,0.0
signal_C23,0.0
signal_C22,0.0
signal_C20,0.0
signal_C21,0.0
signal_C19,0.0
signal_C18,0.0
signal_C12,0.0
signal_C17,0.0
signal_C16,0.0
h2_is_obfuscation,0.0
h2_min_edit_distance,0.0
h7_gain_direction,0.0
h8_is_sensitive,0.0
h8_is_majority_value,0.0
