feature,importance
row_signal_sum,0.48580572822010626
n_applicable,0.24282318591182753
cell_signal_ratio,0.12099698535482727
cell_signal_sum,0.07085151955758986
signal_C15,0.04205526270893674
signal_C6,0.03746731824671238
signal_C5,0.0
signal_C8,0.0
signal_C7,0.0
signal_C2,0.0
signal_C3,0.0
signal_C4,0.0
signal_C1,0.0
signal_C13,0.0
signal_C12,0.0
signal_C11,0.0
signal_C10,0.0
signal_C9,0.0
signal_C14,0.0
signal_C16,0.0
signal_C17,0.0
signal_C21,0.0
signal_C20,0.0
signal_C19,0.0
signal_C18,0.0
signal_C25,0.0
signal_C24,0.0
signal_C23,0.0
signal_C22,0.0
